Brand,Product_Name,Door_Category,Material,Door_Type,Application,Size,Quality_Level,Quality_Score,Unit,Quantity_Rule,Rule_Value,Required_For,Optional,Price_EGP,Category,Subcategory,Grade,Quality_Price_Band,Estimated_Quantity,Estimated_Total_Cost,Finishing_Category
DoorTech,Interior MDF Door,Interior,MDF,Solid,Bedroom,90x210 cm,Low,7.2,Piece,Per_Room,1,Bedroom,False,3989,Doors,Interior,Not Applicable,Low: <= 5307,1,3989,Doors
Security Doors,Interior MDF Door,Interior,MDF,Solid,Bedroom,90x210 cm,Low,7.2,Piece,Per_Room,1,Bedroom,False,3650,Doors,Interior,Not Applicable,Low: <= 5307,1,3650,Doors
AluDoor,Interior MDF Door,Interior,MDF,Solid,Bedroom,90x210 cm,Low,7.2,Piece,Per_Room,1,Bedroom,False,4889,Doors,Interior,Not Applicable,Low: <= 5307,1,4889,Doors
DoorTech,Interior MDF Door,Interior,MDF,Solid,Bedroom,90x210 cm,Low,7.2,Piece,Per_Room,1,Bedroom,False,4591,Doors,Interior,Not Applicable,Low: <= 5307,1,4591,Doors
DoorTech,Aluminum Balcony Door,Balcony,Aluminum,Sliding,Balcony,180x220 cm,Medium,7.4,Piece,Per_Balcony,1,Balcony,False,6928,Doors,Balcony,Not Applicable,Medium: 5307 - 9745,1,6928,Doors
DoorTech,Aluminum Balcony Door,Balcony,Aluminum,Sliding,Balcony,180x220 cm,Medium,7.4,Piece,Per_Balcony,1,Balcony,False,6629,Doors,Balcony,Not Applicable,Medium: 5307 - 9745,1,6629,Doors
DoorTech,Aluminum Balcony Door,Balcony,Aluminum,Sliding,Balcony,180x220 cm,Medium,7.4,Piece,Per_Balcony,1,Balcony,False,6735,Doors,Balcony,Not Applicable,Medium: 5307 - 9745,1,6735,Doors
WPC Brand,Aluminum Balcony Door,Balcony,Aluminum,Sliding,Balcony,180x220 cm,Medium,7.4,Piece,Per_Balcony,1,Balcony,False,7220,Doors,Balcony,Not Applicable,Medium: 5307 - 9745,1,7220,Doors
DoorTech,Interior MDF Door,Interior,MDF,Solid,Bedroom,90x210 cm,Low,7.2,Piece,Per_Room,1,Bedroom,False,4699,Doors,Interior,Not Applicable,Low: <= 5307,1,4699,Doors
Security Doors,Interior MDF Door,Interior,MDF,Solid,Bedroom,90x210 cm,Low,7.2,Piece,Per_Room,1,Bedroom,False,3555,Doors,Interior,Not Applicable,Low: <= 5307,1,3555,Doors
WoodCraft,Interior MDF Door,Interior,MDF,Solid,Bedroom,90x210 cm,Medium,7.2,Piece,Per_Room,1,Bedroom,False,5629,Doors,Interior,Not Applicable,Medium: 5307 - 9745,1,5629,Doors
WPC Brand,Interior MDF Door,Interior,MDF,Solid,Bedroom,90x210 cm,Low,7.2,Piece,Per_Room,1,Bedroom,False,4399,Doors,Interior,Not Applicable,Low: <= 5307,1,4399,Doors
WoodCraft,Interior MDF Door,Interior,MDF,Solid,Bedroom,90x210 cm,Medium,7.2,Piece,Per_Room,1,Bedroom,False,5668,Doors,Interior,Not Applicable,Medium: 5307 - 9745,1,5668,Doors
WoodCraft,Aluminum Balcony Door,Balcony,Aluminum,Sliding,Balcony,180x220 cm,Low,7.4,Piece,Per_Balcony,1,Balcony,False,4703,Doors,Balcony,Not Applicable,Low: <= 5307,1,4703,Doors
Security Doors,Aluminum Balcony Door,Balcony,Aluminum,Sliding,Balcony,180x220 cm,Medium,7.4,Piece,Per_Balcony,1,Balcony,False,6641,Doors,Balcony,Not Applicable,Medium: 5307 - 9745,1,6641,Doors
DoorTech,Armored Security Door,Entrance,Steel,Armored,Main Entrance,100x220 cm,High,8.9,Piece,Fixed,1,Apartment,False,9895,Doors,Entrance,Not Applicable,High: > 9745,1,9895,Doors
Security Doors,Interior MDF Door,Interior,MDF,Solid,Bedroom,90x210 cm,Low,7.2,Piece,Per_Room,1,Bedroom,False,3619,Doors,Interior,Not Applicable,Low: <= 5307,1,3619,Doors
Security Doors,Interior MDF Door,Interior,MDF,Solid,Bedroom,90x210 cm,Low,7.2,Piece,Per_Room,1,Bedroom,False,3641,Doors,Interior,Not Applicable,Low: <= 5307,1,3641,Doors
DoorTech,Armored Security Door,Entrance,Steel,Armored,Main Entrance,100x220 cm,High,8.9,Piece,Fixed,1,Apartment,False,10038,Doors,Entrance,Not Applicable,High: > 9745,1,10038,Doors
AluDoor,Armored Security Door,Entrance,Steel,Armored,Main Entrance,100x220 cm,High,8.9,Piece,Fixed,1,Apartment,False,13934,Doors,Entrance,Not Applicable,High: > 9745,1,13934,Doors
WoodCraft,Armored Security Door,Entrance,Steel,Armored,Main Entrance,100x220 cm,High,8.9,Piece,Fixed,1,Apartment,False,12175,Doors,Entrance,Not Applicable,High: > 9745,1,12175,Doors
WoodCraft,Armored Security Door,Entrance,Steel,Armored,Main Entrance,100x220 cm,High,8.9,Piece,Fixed,1,Apartment,False,12945,Doors,Entrance,Not Applicable,High: > 9745,1,12945,Doors
WPC Brand,Armored Security Door,Entrance,Steel,Armored,Main Entrance,100x220 cm,High,8.9,Piece,Fixed,1,Apartment,False,10121,Doors,Entrance,Not Applicable,High: > 9745,1,10121,Doors
DoorTech,Interior MDF Door,Interior,MDF,Solid,Bedroom,90x210 cm,Low,7.2,Piece,Per_Room,1,Bedroom,False,4583,Doors,Interior,Not Applicable,Low: <= 5307,1,4583,Doors
WoodCraft,Interior MDF Door,Interior,MDF,Solid,Bedroom,90x210 cm,Medium,7.2,Piece,Per_Room,1,Bedroom,False,5514,Doors,Interior,Not Applicable,Medium: 5307 - 9745,1,5514,Doors
WPC Brand,Interior MDF Door,Interior,MDF,Solid,Bedroom,90x210 cm,Medium,7.2,Piece,Per_Room,1,Bedroom,False,5620,Doors,Interior,Not Applicable,Medium: 5307 - 9745,1,5620,Doors
AluDoor,Interior MDF Door,Interior,MDF,Solid,Bedroom,90x210 cm,Low,7.2,Piece,Per_Room,1,Bedroom,False,3919,Doors,Interior,Not Applicable,Low: <= 5307,1,3919,Doors
AluDoor,Interior MDF Door,Interior,MDF,Solid,Bedroom,90x210 cm,Low,7.2,Piece,Per_Room,1,Bedroom,False,4960,Doors,Interior,Not Applicable,Low: <= 5307,1,4960,Doors
AluDoor,Interior MDF Door,Interior,MDF,Solid,Bedroom,90x210 cm,Low,7.2,Piece,Per_Room,1,Bedroom,False,4719,Doors,Interior,Not Applicable,Low: <= 5307,1,4719,Doors
AluDoor,Armored Security Door,Entrance,Steel,Armored,Main Entrance,100x220 cm,High,8.9,Piece,Fixed,1,Apartment,False,11672,Doors,Entrance,Not Applicable,High: > 9745,1,11672,Doors
DoorTech,Armored Security Door,Entrance,Steel,Armored,Main Entrance,100x220 cm,High,8.9,Piece,Fixed,1,Apartment,False,14118,Doors,Entrance,Not Applicable,High: > 9745,1,14118,Doors
DoorTech,Aluminum Balcony Door,Balcony,Aluminum,Sliding,Balcony,180x220 cm,Medium,7.4,Piece,Per_Balcony,1,Balcony,False,6593,Doors,Balcony,Not Applicable,Medium: 5307 - 9745,1,6593,Doors
Security Doors,Interior MDF Door,Interior,MDF,Solid,Bedroom,90x210 cm,Low,7.2,Piece,Per_Room,1,Bedroom,False,4081,Doors,Interior,Not Applicable,Low: <= 5307,1,4081,Doors
AluDoor,Armored Security Door,Entrance,Steel,Armored,Main Entrance,100x220 cm,High,8.9,Piece,Fixed,1,Apartment,False,12396,Doors,Entrance,Not Applicable,High: > 9745,1,12396,Doors
AluDoor,Aluminum Balcony Door,Balcony,Aluminum,Sliding,Balcony,180x220 cm,Medium,7.4,Piece,Per_Balcony,1,Balcony,False,5495,Doors,Balcony,Not Applicable,Medium: 5307 - 9745,1,5495,Doors
WoodCraft,Aluminum Balcony Door,Balcony,Aluminum,Sliding,Balcony,180x220 cm,Medium,7.4,Piece,Per_Balcony,1,Balcony,False,5773,Doors,Balcony,Not Applicable,Medium: 5307 - 9745,1,5773,Doors
WoodCraft,Armored Security Door,Entrance,Steel,Armored,Main Entrance,100x220 cm,High,8.9,Piece,Fixed,1,Apartment,False,13787,Doors,Entrance,Not Applicable,High: > 9745,1,13787,Doors
WoodCraft,Interior MDF Door,Interior,MDF,Solid,Bedroom,90x210 cm,Low,7.2,Piece,Per_Room,1,Bedroom,False,4662,Doors,Interior,Not Applicable,Low: <= 5307,1,4662,Doors
WPC Brand,Aluminum Balcony Door,Balcony,Aluminum,Sliding,Balcony,180x220 cm,Low,7.4,Piece,Per_Balcony,1,Balcony,False,4514,Doors,Balcony,Not Applicable,Low: <= 5307,1,4514,Doors
WPC Brand,Interior MDF Door,Interior,MDF,Solid,Bedroom,90x210 cm,Low,7.2,Piece,Per_Room,1,Bedroom,False,4698,Doors,Interior,Not Applicable,Low: <= 5307,1,4698,Doors
Security Doors,Aluminum Balcony Door,Balcony,Aluminum,Sliding,Balcony,180x220 cm,Low,7.4,Piece,Per_Balcony,1,Balcony,False,4569,Doors,Balcony,Not Applicable,Low: <= 5307,1,4569,Doors
DoorTech,Armored Security Door,Entrance,Steel,Armored,Main Entrance,100x220 cm,High,8.9,Piece,Fixed,1,Apartment,False,11053,Doors,Entrance,Not Applicable,High: > 9745,1,11053,Doors
AluDoor,Interior MDF Door,Interior,MDF,Solid,Bedroom,90x210 cm,Low,7.2,Piece,Per_Room,1,Bedroom,False,3353,Doors,Interior,Not Applicable,Low: <= 5307,1,3353,Doors
DoorTech,Armored Security Door,Entrance,Steel,Armored,Main Entrance,100x220 cm,High,8.9,Piece,Fixed,1,Apartment,False,12445,Doors,Entrance,Not Applicable,High: > 9745,1,12445,Doors
WPC Brand,Armored Security Door,Entrance,Steel,Armored,Main Entrance,100x220 cm,High,8.9,Piece,Fixed,1,Apartment,False,9857,Doors,Entrance,Not Applicable,High: > 9745,1,9857,Doors
DoorTech,Aluminum Balcony Door,Balcony,Aluminum,Sliding,Balcony,180x220 cm,Medium,7.4,Piece,Per_Balcony,1,Balcony,False,6737,Doors,Balcony,Not Applicable,Medium: 5307 - 9745,1,6737,Doors
DoorTech,Aluminum Balcony Door,Balcony,Aluminum,Sliding,Balcony,180x220 cm,Medium,7.4,Piece,Per_Balcony,1,Balcony,False,6919,Doors,Balcony,Not Applicable,Medium: 5307 - 9745,1,6919,Doors
Security Doors,Aluminum Balcony Door,Balcony,Aluminum,Sliding,Balcony,180x220 cm,Medium,7.4,Piece,Per_Balcony,1,Balcony,False,6002,Doors,Balcony,Not Applicable,Medium: 5307 - 9745,1,6002,Doors
Security Doors,Aluminum Balcony Door,Balcony,Aluminum,Sliding,Balcony,180x220 cm,Low,7.4,Piece,Per_Balcony,1,Balcony,False,4599,Doors,Balcony,Not Applicable,Low: <= 5307,1,4599,Doors
WPC Brand,Armored Security Door,Entrance,Steel,Armored,Main Entrance,100x220 cm,High,8.9,Piece,Fixed,1,Apartment,False,13169,Doors,Entrance,Not Applicable,High: > 9745,1,13169,Doors
DoorTech,Aluminum Balcony Door,Balcony,Aluminum,Sliding,Balcony,180x220 cm,Medium,7.4,Piece,Per_Balcony,1,Balcony,False,6886,Doors,Balcony,Not Applicable,Medium: 5307 - 9745,1,6886,Doors
WPC Brand,Armored Security Door,Entrance,Steel,Armored,Main Entrance,100x220 cm,High,8.9,Piece,Fixed,1,Apartment,False,14481,Doors,Entrance,Not Applicable,High: > 9745,1,14481,Doors
Security Doors,Aluminum Balcony Door,Balcony,Aluminum,Sliding,Balcony,180x220 cm,Medium,7.4,Piece,Per_Balcony,1,Balcony,False,7243,Doors,Balcony,Not Applicable,Medium: 5307 - 9745,1,7243,Doors
DoorTech,Aluminum Balcony Door,Balcony,Aluminum,Sliding,Balcony,180x220 cm,Medium,7.4,Piece,Per_Balcony,1,Balcony,False,6584,Doors,Balcony,Not Applicable,Medium: 5307 - 9745,1,6584,Doors
AluDoor,Interior MDF Door,Interior,MDF,Solid,Bedroom,90x210 cm,Low,7.2,Piece,Per_Room,1,Bedroom,False,4170,Doors,Interior,Not Applicable,Low: <= 5307,1,4170,Doors
AluDoor,Armored Security Door,Entrance,Steel,Armored,Main Entrance,100x220 cm,High,8.9,Piece,Fixed,1,Apartment,False,11639,Doors,Entrance,Not Applicable,High: > 9745,1,11639,Doors
DoorTech,Interior MDF Door,Interior,MDF,Solid,Bedroom,90x210 cm,Low,7.2,Piece,Per_Room,1,Bedroom,False,3514,Doors,Interior,Not Applicable,Low: <= 5307,1,3514,Doors
DoorTech,Armored Security Door,Entrance,Steel,Armored,Main Entrance,100x220 cm,High,8.9,Piece,Fixed,1,Apartment,False,13008,Doors,Entrance,Not Applicable,High: > 9745,1,13008,Doors
WoodCraft,Interior MDF Door,Interior,MDF,Solid,Bedroom,90x210 cm,Low,7.2,Piece,Per_Room,1,Bedroom,False,3493,Doors,Interior,Not Applicable,Low: <= 5307,1,3493,Doors
WPC Brand,Armored Security Door,Entrance,Steel,Armored,Main Entrance,100x220 cm,High,8.9,Piece,Fixed,1,Apartment,False,14257,Doors,Entrance,Not Applicable,High: > 9745,1,14257,Doors
Security Doors,Aluminum Balcony Door,Balcony,Aluminum,Sliding,Balcony,180x220 cm,Low,7.4,Piece,Per_Balcony,1,Balcony,False,4641,Doors,Balcony,Not Applicable,Low: <= 5307,1,4641,Doors
WPC Brand,Aluminum Balcony Door,Balcony,Aluminum,Sliding,Balcony,180x220 cm,Medium,7.4,Piece,Per_Balcony,1,Balcony,False,7081,Doors,Balcony,Not Applicable,Medium: 5307 - 9745,1,7081,Doors
WPC Brand,Aluminum Balcony Door,Balcony,Aluminum,Sliding,Balcony,180x220 cm,Medium,7.4,Piece,Per_Balcony,1,Balcony,False,5938,Doors,Balcony,Not Applicable,Medium: 5307 - 9745,1,5938,Doors
WoodCraft,Interior MDF Door,Interior,MDF,Solid,Bedroom,90x210 cm,Medium,7.2,Piece,Per_Room,1,Bedroom,False,5406,Doors,Interior,Not Applicable,Medium: 5307 - 9745,1,5406,Doors
AluDoor,Armored Security Door,Entrance,Steel,Armored,Main Entrance,100x220 cm,High,8.9,Piece,Fixed,1,Apartment,False,11307,Doors,Entrance,Not Applicable,High: > 9745,1,11307,Doors
WoodCraft,Armored Security Door,Entrance,Steel,Armored,Main Entrance,100x220 cm,High,8.9,Piece,Fixed,1,Apartment,False,10204,Doors,Entrance,Not Applicable,High: > 9745,1,10204,Doors
WoodCraft,Interior MDF Door,Interior,MDF,Solid,Bedroom,90x210 cm,Low,7.2,Piece,Per_Room,1,Bedroom,False,5005,Doors,Interior,Not Applicable,Low: <= 5307,1,5005,Doors
WoodCraft,Interior MDF Door,Interior,MDF,Solid,Bedroom,90x210 cm,Medium,7.2,Piece,Per_Room,1,Bedroom,False,5637,Doors,Interior,Not Applicable,Medium: 5307 - 9745,1,5637,Doors
DoorTech,Armored Security Door,Entrance,Steel,Armored,Main Entrance,100x220 cm,High,8.9,Piece,Fixed,1,Apartment,False,11906,Doors,Entrance,Not Applicable,High: > 9745,1,11906,Doors
DoorTech,Interior MDF Door,Interior,MDF,Solid,Bedroom,90x210 cm,Low,7.2,Piece,Per_Room,1,Bedroom,False,4013,Doors,Interior,Not Applicable,Low: <= 5307,1,4013,Doors
WoodCraft,Interior MDF Door,Interior,MDF,Solid,Bedroom,90x210 cm,Medium,7.2,Piece,Per_Room,1,Bedroom,False,5309,Doors,Interior,Not Applicable,Medium: 5307 - 9745,1,5309,Doors
WoodCraft,Aluminum Balcony Door,Balcony,Aluminum,Sliding,Balcony,180x220 cm,Medium,7.4,Piece,Per_Balcony,1,Balcony,False,6828,Doors,Balcony,Not Applicable,Medium: 5307 - 9745,1,6828,Doors
WPC Brand,Aluminum Balcony Door,Balcony,Aluminum,Sliding,Balcony,180x220 cm,Low,7.4,Piece,Per_Balcony,1,Balcony,False,4734,Doors,Balcony,Not Applicable,Low: <= 5307,1,4734,Doors
WPC Brand,Armored Security Door,Entrance,Steel,Armored,Main Entrance,100x220 cm,High,8.9,Piece,Fixed,1,Apartment,False,11470,Doors,Entrance,Not Applicable,High: > 9745,1,11470,Doors
AluDoor,Aluminum Balcony Door,Balcony,Aluminum,Sliding,Balcony,180x220 cm,Medium,7.4,Piece,Per_Balcony,1,Balcony,False,6054,Doors,Balcony,Not Applicable,Medium: 5307 - 9745,1,6054,Doors
DoorTech,Armored Security Door,Entrance,Steel,Armored,Main Entrance,100x220 cm,High,8.9,Piece,Fixed,1,Apartment,False,11987,Doors,Entrance,Not Applicable,High: > 9745,1,11987,Doors
DoorTech,Armored Security Door,Entrance,Steel,Armored,Main Entrance,100x220 cm,High,8.9,Piece,Fixed,1,Apartment,False,11701,Doors,Entrance,Not Applicable,High: > 9745,1,11701,Doors
Security Doors,Armored Security Door,Entrance,Steel,Armored,Main Entrance,100x220 cm,Medium,8.9,Piece,Fixed,1,Apartment,False,9502,Doors,Entrance,Not Applicable,Medium: 5307 - 9745,1,9502,Doors
WPC Brand,Aluminum Balcony Door,Balcony,Aluminum,Sliding,Balcony,180x220 cm,Low,7.4,Piece,Per_Balcony,1,Balcony,False,4804,Doors,Balcony,Not Applicable,Low: <= 5307,1,4804,Doors
WPC Brand,Aluminum Balcony Door,Balcony,Aluminum,Sliding,Balcony,180x220 cm,Medium,7.4,Piece,Per_Balcony,1,Balcony,False,6622,Doors,Balcony,Not Applicable,Medium: 5307 - 9745,1,6622,Doors
DoorTech,Armored Security Door,Entrance,Steel,Armored,Main Entrance,100x220 cm,High,8.9,Piece,Fixed,1,Apartment,False,13431,Doors,Entrance,Not Applicable,High: > 9745,1,13431,Doors
DoorTech,Armored Security Door,Entrance,Steel,Armored,Main Entrance,100x220 cm,Medium,8.9,Piece,Fixed,1,Apartment,False,9565,Doors,Entrance,Not Applicable,Medium: 5307 - 9745,1,9565,Doors
Security Doors,Armored Security Door,Entrance,Steel,Armored,Main Entrance,100x220 cm,High,8.9,Piece,Fixed,1,Apartment,False,13581,Doors,Entrance,Not Applicable,High: > 9745,1,13581,Doors
Security Doors,Interior MDF Door,Interior,MDF,Solid,Bedroom,90x210 cm,Low,7.2,Piece,Per_Room,1,Bedroom,False,4232,Doors,Interior,Not Applicable,Low: <= 5307,1,4232,Doors
DoorTech,Armored Security Door,Entrance,Steel,Armored,Main Entrance,100x220 cm,High,8.9,Piece,Fixed,1,Apartment,False,12225,Doors,Entrance,Not Applicable,High: > 9745,1,12225,Doors
WoodCraft,Aluminum Balcony Door,Balcony,Aluminum,Sliding,Balcony,180x220 cm,Medium,7.4,Piece,Per_Balcony,1,Balcony,False,5971,Doors,Balcony,Not Applicable,Medium: 5307 - 9745,1,5971,Doors
WoodCraft,Interior MDF Door,Interior,MDF,Solid,Bedroom,90x210 cm,Low,7.2,Piece,Per_Room,1,Bedroom,False,4952,Doors,Interior,Not Applicable,Low: <= 5307,1,4952,Doors
Security Doors,Aluminum Balcony Door,Balcony,Aluminum,Sliding,Balcony,180x220 cm,Medium,7.4,Piece,Per_Balcony,1,Balcony,False,7389,Doors,Balcony,Not Applicable,Medium: 5307 - 9745,1,7389,Doors
AluDoor,Interior MDF Door,Interior,MDF,Solid,Bedroom,90x210 cm,Low,7.2,Piece,Per_Room,1,Bedroom,False,4132,Doors,Interior,Not Applicable,Low: <= 5307,1,4132,Doors
WoodCraft,Armored Security Door,Entrance,Steel,Armored,Main Entrance,100x220 cm,High,8.9,Piece,Fixed,1,Apartment,False,11583,Doors,Entrance,Not Applicable,High: > 9745,1,11583,Doors
Security Doors,Aluminum Balcony Door,Balcony,Aluminum,Sliding,Balcony,180x220 cm,Medium,7.4,Piece,Per_Balcony,1,Balcony,False,7304,Doors,Balcony,Not Applicable,Medium: 5307 - 9745,1,7304,Doors
AluDoor,Armored Security Door,Entrance,Steel,Armored,Main Entrance,100x220 cm,High,8.9,Piece,Fixed,1,Apartment,False,11560,Doors,Entrance,Not Applicable,High: > 9745,1,11560,Doors
DoorTech,Armored Security Door,Entrance,Steel,Armored,Main Entrance,100x220 cm,High,8.9,Piece,Fixed,1,Apartment,False,11550,Doors,Entrance,Not Applicable,High: > 9745,1,11550,Doors
WPC Brand,Aluminum Balcony Door,Balcony,Aluminum,Sliding,Balcony,180x220 cm,Medium,7.4,Piece,Per_Balcony,1,Balcony,False,6065,Doors,Balcony,Not Applicable,Medium: 5307 - 9745,1,6065,Doors
AluDoor,Interior MDF Door,Interior,MDF,Solid,Bedroom,90x210 cm,Low,7.2,Piece,Per_Room,1,Bedroom,False,5050,Doors,Interior,Not Applicable,Low: <= 5307,1,5050,Doors
WPC Brand,Interior MDF Door,Interior,MDF,Solid,Bedroom,90x210 cm,Low,7.2,Piece,Per_Room,1,Bedroom,False,3609,Doors,Interior,Not Applicable,Low: <= 5307,1,3609,Doors
Security Doors,Interior MDF Door,Interior,MDF,Solid,Bedroom,90x210 cm,Medium,7.2,Piece,Per_Room,1,Bedroom,False,5543,Doors,Interior,Not Applicable,Medium: 5307 - 9745,1,5543,Doors
WoodCraft,Interior MDF Door,Interior,MDF,Solid,Bedroom,90x210 cm,Low,7.2,Piece,Per_Room,1,Bedroom,False,3774,Doors,Interior,Not Applicable,Low: <= 5307,1,3774,Doors
DoorTech,Interior MDF Door,Interior,MDF,Solid,Bedroom,90x210 cm,Low,7.2,Piece,Per_Room,1,Bedroom,False,5013,Doors,Interior,Not Applicable,Low: <= 5307,1,5013,Doors
AluDoor,Interior MDF Door,Interior,MDF,Solid,Bedroom,90x210 cm,Low,7.2,Piece,Per_Room,1,Bedroom,False,3349,Doors,Interior,Not Applicable,Low: <= 5307,1,3349,Doors
Security Doors,Armored Security Door,Entrance,Steel,Armored,Main Entrance,100x220 cm,High,8.9,Piece,Fixed,1,Apartment,False,13838,Doors,Entrance,Not Applicable,High: > 9745,1,13838,Doors
WPC Brand,Interior MDF Door,Interior,MDF,Solid,Bedroom,90x210 cm,Low,7.2,Piece,Per_Room,1,Bedroom,False,3942,Doors,Interior,Not Applicable,Low: <= 5307,1,3942,Doors
DoorTech,Armored Security Door,Entrance,Steel,Armored,Main Entrance,100x220 cm,High,8.9,Piece,Fixed,1,Apartment,False,9829,Doors,Entrance,Not Applicable,High: > 9745,1,9829,Doors
Security Doors,Aluminum Balcony Door,Balcony,Aluminum,Sliding,Balcony,180x220 cm,Medium,7.4,Piece,Per_Balcony,1,Balcony,False,6973,Doors,Balcony,Not Applicable,Medium: 5307 - 9745,1,6973,Doors
WPC Brand,Armored Security Door,Entrance,Steel,Armored,Main Entrance,100x220 cm,High,8.9,Piece,Fixed,1,Apartment,False,11267,Doors,Entrance,Not Applicable,High: > 9745,1,11267,Doors
WPC Brand,Aluminum Balcony Door,Balcony,Aluminum,Sliding,Balcony,180x220 cm,Medium,7.4,Piece,Per_Balcony,1,Balcony,False,7002,Doors,Balcony,Not Applicable,Medium: 5307 - 9745,1,7002,Doors
WPC Brand,Interior MDF Door,Interior,MDF,Solid,Bedroom,90x210 cm,Low,7.2,Piece,Per_Room,1,Bedroom,False,3644,Doors,Interior,Not Applicable,Low: <= 5307,1,3644,Doors
AluDoor,Aluminum Balcony Door,Balcony,Aluminum,Sliding,Balcony,180x220 cm,Low,7.4,Piece,Per_Balcony,1,Balcony,False,4985,Doors,Balcony,Not Applicable,Low: <= 5307,1,4985,Doors
Security Doors,Armored Security Door,Entrance,Steel,Armored,Main Entrance,100x220 cm,High,8.9,Piece,Fixed,1,Apartment,False,10906,Doors,Entrance,Not Applicable,High: > 9745,1,10906,Doors
DoorTech,Interior MDF Door,Interior,MDF,Solid,Bedroom,90x210 cm,Low,7.2,Piece,Per_Room,1,Bedroom,False,3993,Doors,Interior,Not Applicable,Low: <= 5307,1,3993,Doors
Security Doors,Aluminum Balcony Door,Balcony,Aluminum,Sliding,Balcony,180x220 cm,Medium,7.4,Piece,Per_Balcony,1,Balcony,False,5365,Doors,Balcony,Not Applicable,Medium: 5307 - 9745,1,5365,Doors
DoorTech,Aluminum Balcony Door,Balcony,Aluminum,Sliding,Balcony,180x220 cm,Low,7.4,Piece,Per_Balcony,1,Balcony,False,5103,Doors,Balcony,Not Applicable,Low: <= 5307,1,5103,Doors
WPC Brand,Interior MDF Door,Interior,MDF,Solid,Bedroom,90x210 cm,Low,7.2,Piece,Per_Room,1,Bedroom,False,4929,Doors,Interior,Not Applicable,Low: <= 5307,1,4929,Doors
AluDoor,Interior MDF Door,Interior,MDF,Solid,Bedroom,90x210 cm,Medium,7.2,Piece,Per_Room,1,Bedroom,False,5481,Doors,Interior,Not Applicable,Medium: 5307 - 9745,1,5481,Doors
WoodCraft,Aluminum Balcony Door,Balcony,Aluminum,Sliding,Balcony,180x220 cm,Medium,7.4,Piece,Per_Balcony,1,Balcony,False,6660,Doors,Balcony,Not Applicable,Medium: 5307 - 9745,1,6660,Doors
DoorTech,Armored Security Door,Entrance,Steel,Armored,Main Entrance,100x220 cm,High,8.9,Piece,Fixed,1,Apartment,False,10738,Doors,Entrance,Not Applicable,High: > 9745,1,10738,Doors
DoorTech,Aluminum Balcony Door,Balcony,Aluminum,Sliding,Balcony,180x220 cm,Medium,7.4,Piece,Per_Balcony,1,Balcony,False,7110,Doors,Balcony,Not Applicable,Medium: 5307 - 9745,1,7110,Doors
WPC Brand,Interior MDF Door,Interior,MDF,Solid,Bedroom,90x210 cm,Low,7.2,Piece,Per_Room,1,Bedroom,False,3606,Doors,Interior,Not Applicable,Low: <= 5307,1,3606,Doors
DoorTech,Aluminum Balcony Door,Balcony,Aluminum,Sliding,Balcony,180x220 cm,Medium,7.4,Piece,Per_Balcony,1,Balcony,False,7349,Doors,Balcony,Not Applicable,Medium: 5307 - 9745,1,7349,Doors
WoodCraft,Armored Security Door,Entrance,Steel,Armored,Main Entrance,100x220 cm,High,8.9,Piece,Fixed,1,Apartment,False,9960,Doors,Entrance,Not Applicable,High: > 9745,1,9960,Doors
WPC Brand,Interior MDF Door,Interior,MDF,Solid,Bedroom,90x210 cm,Low,7.2,Piece,Per_Room,1,Bedroom,False,3294,Doors,Interior,Not Applicable,Low: <= 5307,1,3294,Doors
AluDoor,Armored Security Door,Entrance,Steel,Armored,Main Entrance,100x220 cm,High,8.9,Piece,Fixed,1,Apartment,False,14181,Doors,Entrance,Not Applicable,High: > 9745,1,14181,Doors
WoodCraft,Aluminum Balcony Door,Balcony,Aluminum,Sliding,Balcony,180x220 cm,Medium,7.4,Piece,Per_Balcony,1,Balcony,False,6861,Doors,Balcony,Not Applicable,Medium: 5307 - 9745,1,6861,Doors
WPC Brand,Aluminum Balcony Door,Balcony,Aluminum,Sliding,Balcony,180x220 cm,Medium,7.4,Piece,Per_Balcony,1,Balcony,False,6276,Doors,Balcony,Not Applicable,Medium: 5307 - 9745,1,6276,Doors
WPC Brand,Interior MDF Door,Interior,MDF,Solid,Bedroom,90x210 cm,Low,7.2,Piece,Per_Room,1,Bedroom,False,4602,Doors,Interior,Not Applicable,Low: <= 5307,1,4602,Doors
AluDoor,Aluminum Balcony Door,Balcony,Aluminum,Sliding,Balcony,180x220 cm,Low,7.4,Piece,Per_Balcony,1,Balcony,False,4668,Doors,Balcony,Not Applicable,Low: <= 5307,1,4668,Doors
AluDoor,Interior MDF Door,Interior,MDF,Solid,Bedroom,90x210 cm,Medium,7.2,Piece,Per_Room,1,Bedroom,False,5492,Doors,Interior,Not Applicable,Medium: 5307 - 9745,1,5492,Doors
Security Doors,Interior MDF Door,Interior,MDF,Solid,Bedroom,90x210 cm,Low,7.2,Piece,Per_Room,1,Bedroom,False,3914,Doors,Interior,Not Applicable,Low: <= 5307,1,3914,Doors
Security Doors,Armored Security Door,Entrance,Steel,Armored,Main Entrance,100x220 cm,High,8.9,Piece,Fixed,1,Apartment,False,10576,Doors,Entrance,Not Applicable,High: > 9745,1,10576,Doors
