Apartment_Area_m2,Rooms,Bathrooms,Master_Bathrooms,Balconies,Receptions,Finishing_Level,Ceilings_Quality,Doors_Quality,Electrical_Basic_Quality,Electrical_Finishing_Quality,Flooring_Quality,Paints_Quality,Plumbing_Quality,Sanitary_Quality,Include_Reception_Ceiling_Upgrade,Include_Reception_Chandelier,Include_Master_Bathroom_Upgrade,Plumbing_System,Total_Finishing_Cost_EGP
87.3,2,1,1,2,1,Medium,Medium,Low,Medium,Medium,Medium,Medium,Medium,High,1,0,1,PVC Pipes,201095.86
153.6,4,2,1,1,1,Medium,Medium,Medium,Medium,Medium,Medium,Low,Medium,Medium,0,0,0,PVC Pipes,281143.02
124.8,3,2,1,2,1,High,Medium,High,Medium,Medium,High,Medium,High,High,1,1,0,PVC Pipes,277846.35
81.4,2,1,1,0,1,Medium,Medium,Medium,Medium,Medium,Medium,High,Medium,Medium,0,1,0,PVC Pipes,161872.89
81.9,2,1,1,0,1,Medium,Medium,Medium,Medium,Medium,Medium,High,Medium,Medium,0,1,0,PVC Pipes,157257.39
85.2,2,1,1,2,1,Low,Low,Medium,Low,Medium,Low,Low,Low,Medium,0,0,0,PPR Pipes,166745.37
83.5,2,1,1,0,1,Medium,Medium,Medium,Low,Medium,Medium,Medium,Medium,Medium,0,1,1,PVC Pipes,163321.42
67.0,2,1,1,2,1,High,High,Medium,High,Medium,High,Medium,Medium,High,1,1,1,PVC Pipes,174058.96
164.4,4,1,1,1,1,Low,Medium,Low,Low,Low,Low,Medium,Medium,Low,0,1,0,PVC Pipes,259699.71
140.5,3,2,1,0,1,Low,Low,Low,Low,Medium,Low,Low,Low,Low,0,0,0,PPR Pipes,230643.72
138.0,3,2,1,2,1,Low,Medium,Medium,Low,Low,Medium,Medium,Low,Low,0,0,0,PPR Pipes,263061.08
65.9,2,1,1,1,1,Medium,Medium,High,Medium,Medium,High,Medium,Medium,Medium,0,1,1,PVC Pipes,145155.56
100.7,2,1,1,1,1,Medium,Medium,Low,Low,Medium,Medium,High,Medium,Medium,1,1,1,PVC Pipes,215065.22
83.8,2,1,1,1,1,Low,Low,Low,Low,Low,Medium,Medium,Low,Low,0,0,0,PPR Pipes,146154.99
94.8,2,1,1,1,1,Medium,Medium,Medium,Medium,High,High,Medium,Medium,Medium,1,1,1,PVC Pipes,211735.21
125.4,3,2,1,1,1,High,Medium,Medium,High,High,High,High,High,Medium,1,1,1,PVC Pipes,284366.3
159.0,4,2,1,3,1,Medium,Low,Medium,Medium,Medium,Medium,Medium,Medium,Medium,0,1,1,PVC Pipes,317140.48
117.2,3,1,1,1,1,Low,Low,Low,Medium,Medium,Low,Low,Low,Low,0,0,0,PPR Pipes,202833.33
100.4,3,2,1,0,1,Low,Low,Low,Low,Low,Medium,Medium,Low,Medium,0,0,0,PPR Pipes,206523.15
119.5,3,1,1,2,1,Medium,High,Low,Low,Medium,High,Low,Medium,Medium,1,1,1,PVC Pipes,261289.0
107.5,3,2,1,1,1,Low,Medium,Low,Medium,Low,Low,Medium,Medium,Low,0,0,0,PVC Pipes,221171.32
83.4,2,1,1,2,1,Low,Low,Medium,Low,Medium,Low,Medium,Low,Low,0,0,0,PPR Pipes,171218.94
188.7,5,2,1,2,1,Low,Medium,Low,Medium,Low,Low,Low,Low,Low,0,0,0,PPR Pipes,338265.35
78.8,2,1,1,1,1,Low,Low,Low,Low,Medium,Medium,Low,Low,Low,0,1,0,PPR Pipes,151667.64
96.4,2,1,1,0,1,Low,Medium,Medium,Low,Medium,Medium,Low,Low,Low,0,0,1,PPR Pipes,160385.04
50.0,1,1,1,1,1,Low,Low,Low,Low,Low,Low,Low,Low,Low,0,0,0,PVC Pipes,101553.53
106.6,3,2,1,2,1,High,High,High,High,High,High,Medium,Medium,Medium,1,1,1,PVC Pipes,280529.28
170.4,4,1,1,1,1,Low,Medium,Medium,Low,Medium,Medium,Low,Low,Low,0,0,0,PPR Pipes,297996.99
125.6,3,2,1,1,1,High,High,Medium,High,High,High,High,High,High,1,1,1,PVC Pipes,308401.95
135.4,3,2,1,1,1,Medium,High,Medium,Medium,High,Medium,Medium,Medium,High,1,1,1,PVC Pipes,302965.57
169.4,4,1,1,2,1,High,High,High,High,Medium,High,High,High,Medium,1,1,1,PVC Pipes,390844.17
166.6,4,2,1,3,1,Medium,Medium,High,High,Medium,Low,Medium,Medium,Medium,1,0,1,PVC Pipes,366127.88
83.0,2,1,1,0,1,Low,Medium,Medium,Medium,Medium,Low,Low,Low,Low,0,0,0,PPR Pipes,152872.37
131.9,3,1,1,2,1,High,High,High,High,High,Medium,High,Medium,High,1,1,1,PVC Pipes,302716.5
111.7,3,2,1,3,1,Low,Medium,Low,Low,Low,Medium,Low,Low,Low,0,0,0,PVC Pipes,211840.9
110.7,3,2,1,0,1,High,High,Medium,High,High,High,Medium,High,High,1,1,1,PVC Pipes,250435.78
97.3,2,1,1,1,1,Low,Low,Medium,Medium,Low,Medium,Low,Low,Medium,0,0,0,PPR Pipes,169382.07
127.2,3,2,1,1,1,Low,Low,Low,Low,Low,Low,Low,Low,Medium,0,0,1,PPR Pipes,217609.67
57.7,1,1,1,0,1,Low,Medium,Low,Low,Medium,Low,Medium,Low,Medium,0,0,0,PPR Pipes,108369.06
105.7,3,1,1,1,1,High,High,High,High,High,Medium,High,High,Medium,1,1,1,PVC Pipes,250179.16
108.3,3,1,1,3,1,High,High,Medium,Medium,High,High,High,Medium,High,1,1,1,PVC Pipes,283535.59
109.5,3,2,1,0,1,Low,Medium,Low,Low,Medium,Medium,Low,Low,Low,0,0,0,PPR Pipes,197114.01
113.9,3,1,1,1,1,Low,Low,Low,Low,Low,Low,Medium,Low,Low,0,1,0,PPR Pipes,190315.78
50.0,1,1,1,0,1,Low,Low,Low,Low,Medium,Low,Low,Low,Low,0,0,0,PPR Pipes,95485.66
202.6,5,3,1,3,1,High,High,High,High,Medium,High,Medium,High,High,1,1,1,PVC Pipes,496488.72
81.1,2,1,1,1,1,Low,Medium,Low,Medium,Low,Medium,Low,Low,Low,0,0,1,PPR Pipes,151948.21
172.5,4,2,1,1,1,Low,Medium,Low,Medium,Low,Low,Medium,Low,Low,0,0,0,PPR Pipes,313044.9
81.1,2,1,1,0,1,Low,Medium,Low,Low,Low,Medium,Low,Low,Medium,1,0,0,PPR Pipes,169082.28
86.7,3,1,1,1,1,Medium,Medium,Medium,Medium,Low,High,Medium,Medium,Medium,0,1,1,PVC Pipes,175986.52
134.3,3,1,1,2,1,High,Medium,High,High,High,High,High,High,High,1,1,1,PVC Pipes,293214.72
83.8,2,1,1,0,1,High,High,High,High,Medium,High,High,High,High,1,1,0,PVC Pipes,191092.19
214.2,5,2,1,1,1,Medium,High,High,Medium,Medium,Medium,High,Medium,Medium,1,1,0,PVC Pipes,457925.23
115.0,3,1,1,2,1,High,High,High,High,High,High,Medium,High,High,1,1,1,PVC Pipes,269709.14
86.4,2,1,1,1,1,Medium,Medium,Medium,Low,Low,Low,Medium,Medium,Medium,0,0,1,PVC Pipes,172370.55
97.1,2,1,1,0,1,Medium,Medium,High,Medium,Medium,Medium,Medium,Medium,Medium,0,1,1,PVC Pipes,174338.46
94.4,3,2,1,3,1,Low,Low,Medium,Low,Medium,Low,Medium,Low,Medium,0,1,0,PPR Pipes,213720.68
76.3,2,1,1,1,1,Low,Low,Low,Low,Low,Low,Low,Low,Low,0,0,0,PPR Pipes,148967.88
77.4,2,1,1,1,1,High,High,High,High,High,High,High,High,High,1,0,1,PVC Pipes,199673.04
77.3,2,1,1,0,1,Low,Low,Medium,Low,Medium,Low,Low,Medium,Low,0,0,1,PVC Pipes,151641.82
108.6,2,1,1,2,1,Medium,Medium,Low,Medium,Medium,Medium,High,Medium,Medium,0,0,0,PVC Pipes,204846.29
103.6,3,2,1,3,1,High,High,High,High,High,Medium,High,Medium,Medium,1,1,1,PVC Pipes,261542.61
89.2,3,2,1,1,1,Low,Medium,Medium,Low,Low,Low,Medium,Low,Low,0,0,0,PPR Pipes,184063.52
133.5,3,1,1,2,1,Low,Low,Medium,Medium,Low,Medium,Low,Low,Medium,1,1,0,PPR Pipes,246327.57
124.5,3,1,1,0,1,Low,Low,Low,Low,Low,Medium,Low,Low,Low,0,1,1,PPR Pipes,211931.68
112.4,3,2,1,2,1,Low,Low,Low,Low,Low,Medium,Low,Medium,Low,1,0,0,PVC Pipes,231888.68
94.5,2,1,1,1,1,Medium,Medium,Medium,Medium,Medium,Medium,High,Medium,Medium,1,0,1,PVC Pipes,209809.38
103.6,3,1,1,2,1,High,High,High,High,Medium,Medium,High,Medium,High,1,1,0,PVC Pipes,237194.69
161.5,4,2,1,2,1,Medium,Medium,Medium,High,Medium,Medium,Medium,Medium,Medium,0,1,1,PVC Pipes,299627.61
118.9,3,2,1,1,1,High,High,High,High,High,High,High,Medium,High,1,1,1,PVC Pipes,291072.97
68.2,2,1,1,0,1,Medium,High,High,Medium,Medium,Medium,Medium,High,Medium,0,0,1,PVC Pipes,135823.0
106.1,3,1,1,3,1,Medium,Medium,High,Low,Medium,Low,High,Low,Medium,1,1,1,PPR Pipes,255084.79
124.9,3,2,1,2,1,Low,Low,Low,Medium,Low,Medium,Medium,Medium,Low,0,0,0,PVC Pipes,245877.78
78.4,2,1,1,0,1,High,Medium,High,High,High,High,High,High,High,1,0,1,PVC Pipes,190618.88
83.1,2,1,1,1,1,Medium,Low,Medium,Medium,Medium,Medium,Medium,Medium,Medium,0,1,0,PVC Pipes,162022.71
68.4,2,1,1,1,1,High,High,Medium,High,High,High,High,Medium,Medium,0,1,1,PVC Pipes,151782.52
99.4,2,1,1,0,1,High,High,Medium,Medium,High,High,High,High,High,1,1,1,PVC Pipes,216494.25
124.2,3,1,1,1,1,Low,Medium,Medium,Low,Low,Medium,Low,Medium,Low,0,0,0,PVC Pipes,225327.85
165.0,4,2,1,2,1,Low,Medium,Low,Low,Low,Low,Medium,Low,Medium,0,0,0,PPR Pipes,284733.6
69.3,1,1,1,0,1,Medium,Medium,Medium,High,Medium,Medium,Medium,Medium,Low,0,1,0,PVC Pipes,125191.43
100.4,2,1,1,2,1,Medium,Medium,Medium,Medium,Medium,Low,Medium,Medium,Medium,0,1,1,PVC Pipes,180916.46
87.5,2,1,1,0,1,Low,Low,Low,Low,Medium,Low,Low,Low,Low,0,0,0,PPR Pipes,150078.93
87.4,2,1,1,2,1,Medium,Medium,Medium,Medium,Low,Medium,Low,Medium,Medium,0,1,0,PVC Pipes,174621.74
127.9,3,2,1,3,1,Medium,Medium,Medium,Medium,Medium,Medium,Medium,High,Medium,1,1,1,PVC Pipes,291895.11
105.0,2,1,1,1,1,Medium,Medium,Medium,High,Medium,Medium,Medium,Low,Medium,1,1,1,PPR Pipes,234391.56
153.5,4,2,1,2,1,Low,Low,Medium,Low,Low,Low,Low,Low,Low,0,0,0,PPR Pipes,279723.44
116.5,3,1,1,0,1,Medium,High,Medium,Medium,Medium,Medium,Medium,Medium,Medium,1,0,0,PVC Pipes,239656.44
105.4,3,2,1,3,1,High,High,High,High,Medium,High,High,High,High,0,1,1,PVC Pipes,251593.82
201.4,5,3,1,1,1,Medium,Medium,Medium,Medium,Medium,Medium,Medium,High,Medium,1,1,0,PVC Pipes,448320.75
156.5,3,1,1,2,1,Medium,Medium,Medium,Medium,Medium,Medium,High,Medium,Medium,0,0,1,PVC Pipes,282658.08
155.0,4,2,1,2,1,High,High,Medium,High,High,High,High,High,High,1,1,0,PVC Pipes,370129.98
128.3,3,1,1,2,1,High,Medium,High,Medium,Medium,High,Medium,High,Medium,1,1,1,PVC Pipes,256840.02
50.0,1,1,1,2,1,Medium,Medium,Medium,Medium,Medium,Medium,Low,Low,High,1,1,0,PPR Pipes,129384.28
58.6,2,1,1,2,1,Low,Low,Medium,Medium,Medium,Low,Medium,Medium,Low,0,0,0,PVC Pipes,136945.16
124.6,3,2,1,2,1,Low,Low,Low,Medium,Medium,Low,Low,Medium,Low,0,0,0,PVC Pipes,232692.81
156.9,4,1,1,2,1,Low,Medium,Low,Low,Medium,Low,Medium,Low,Medium,0,0,1,PPR Pipes,268210.23
191.4,5,3,1,1,1,Medium,Medium,Medium,Medium,Medium,High,High,Medium,Medium,1,0,1,PVC Pipes,426481.29
58.5,2,1,1,1,1,Low,Low,Low,Low,Medium,Medium,Low,Low,Medium,0,1,0,PPR Pipes,128619.52
83.5,2,1,1,2,1,Medium,Medium,Low,Medium,Medium,Medium,Medium,High,Low,1,1,1,PVC Pipes,175081.21
127.8,3,1,1,0,1,High,High,Medium,High,Medium,High,Medium,High,High,1,1,1,PVC Pipes,272220.08
173.2,4,1,1,2,1,High,Medium,High,High,High,Medium,High,Medium,Medium,1,1,1,PVC Pipes,371166.37
144.3,4,2,1,3,1,Low,Medium,Low,Low,Low,Medium,Medium,Low,Medium,0,0,0,PPR Pipes,296169.63
91.2,2,1,1,0,1,Medium,High,Medium,Medium,Medium,Medium,High,High,Medium,1,0,1,PVC Pipes,198685.56
154.0,4,1,1,2,1,Low,Low,Low,Low,Low,Medium,Low,Low,Medium,0,0,0,PPR Pipes,253280.25
94.3,2,1,1,2,1,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium,0,1,0,PVC Pipes,178918.88
66.4,2,1,1,1,1,Medium,Low,Medium,Medium,Medium,Medium,Medium,Medium,Medium,1,0,1,PVC Pipes,155798.33
83.0,2,1,1,1,1,Medium,Medium,High,Medium,Medium,High,Medium,Medium,Medium,0,1,0,PVC Pipes,158529.68
173.1,4,1,1,1,1,Low,Low,Low,Low,Low,Low,Low,Low,Low,0,0,0,PPR Pipes,278220.49
114.4,3,2,1,2,1,Low,Medium,Low,Medium,Low,Low,Medium,Low,Low,0,0,0,PPR Pipes,222773.21
137.8,3,1,1,2,1,Low,Medium,Low,Low,Low,Low,Medium,Low,Low,0,0,0,PPR Pipes,249839.32
162.7,4,2,1,2,1,Medium,Low,Medium,Medium,Medium,Medium,Medium,Low,Medium,1,1,1,PPR Pipes,327273.31
112.4,3,2,1,0,1,Low,Low,Low,Low,Medium,Low,Low,Low,Low,0,0,0,PPR Pipes,208149.44
156.5,4,2,1,1,1,Medium,High,Medium,Medium,High,High,Medium,Medium,Medium,1,1,1,PVC Pipes,339674.45
90.8,2,1,1,0,1,High,Medium,Medium,Medium,High,High,High,High,Medium,1,1,1,PVC Pipes,199093.88
178.6,4,2,1,2,1,Medium,Low,Medium,Low,High,Medium,Medium,Medium,Low,0,0,0,PVC Pipes,309920.12
75.0,2,1,1,0,1,Medium,Medium,Medium,Medium,Medium,High,Medium,Medium,Medium,1,1,1,PVC Pipes,170066.44
89.7,2,1,1,1,1,High,High,High,Medium,High,High,Medium,Medium,High,1,0,1,PVC Pipes,200332.66
106.0,2,1,1,1,1,Low,Medium,Low,Medium,Low,Low,Low,Medium,Low,0,0,1,PVC Pipes,186985.4
118.9,3,2,1,2,1,Medium,High,Medium,Medium,Medium,Medium,Medium,Medium,Medium,1,0,1,PVC Pipes,277339.06
147.4,4,2,1,2,1,Low,Low,Medium,Low,Low,Medium,Low,Low,Medium,0,0,0,PVC Pipes,280410.45
119.2,3,1,1,1,1,Medium,Medium,Medium,High,High,Low,Medium,Medium,Medium,0,1,0,PVC Pipes,230735.04
100.1,2,1,1,1,1,High,High,High,High,High,High,High,Medium,High,1,1,1,PVC Pipes,239855.02
206.7,5,2,1,3,1,Medium,Low,Medium,Medium,Medium,High,Medium,Medium,Medium,1,0,1,PVC Pipes,387591.7
80.8,2,1,1,0,1,Medium,Medium,Medium,Medium,Medium,Low,Low,Medium,Low,1,1,1,PVC Pipes,173875.42
101.1,3,1,1,1,1,High,Medium,High,Medium,High,High,Medium,Medium,High,1,1,1,PVC Pipes,223467.19
174.1,4,2,1,0,1,Low,Medium,Medium,Low,Low,Medium,Low,Low,Low,0,1,0,PPR Pipes,292646.73
125.9,3,2,1,1,1,High,High,High,High,Medium,Medium,High,High,High,1,1,1,PVC Pipes,286087.18
76.7,2,1,1,1,1,Medium,Medium,Low,Medium,Medium,Medium,Medium,Medium,Medium,1,0,0,PVC Pipes,165918.06
93.3,2,1,1,1,1,High,High,High,High,High,High,Medium,High,Medium,1,1,1,PVC Pipes,210352.25
149.4,4,2,1,2,1,Low,Low,Low,Medium,Low,Low,Low,Low,Low,1,0,0,PPR Pipes,293923.19
92.1,2,1,1,0,1,High,High,High,High,High,High,High,High,High,0,1,0,PVC Pipes,174446.89
105.4,3,1,1,1,1,Medium,Medium,Medium,Medium,High,Medium,Medium,Medium,High,1,1,0,PVC Pipes,228357.16
117.6,4,2,1,2,1,Medium,Medium,Medium,High,Medium,Medium,Medium,Low,Medium,1,1,1,PPR Pipes,279180.17
82.1,2,1,1,2,1,Low,Medium,Low,Low,Low,Medium,Low,Low,Medium,0,0,0,PPR Pipes,154778.28
87.9,2,1,1,1,1,High,High,Medium,High,Medium,High,High,High,High,0,1,1,PVC Pipes,181022.74
67.9,1,1,1,0,1,Medium,Medium,Medium,Low,Medium,Medium,Low,Medium,Medium,1,1,0,PVC Pipes,135582.41
93.5,2,1,1,2,1,Low,Low,Low,Low,Low,Low,Medium,Medium,Medium,0,0,0,PVC Pipes,175294.4
55.9,2,1,1,1,1,Medium,Medium,Medium,Low,Medium,Medium,Medium,Medium,Medium,0,1,1,PVC Pipes,130753.92
93.1,2,1,1,0,1,High,Medium,High,High,Medium,High,High,High,Medium,1,1,0,PVC Pipes,202253.29
121.2,3,1,1,1,1,Medium,Medium,High,High,Medium,Medium,Medium,Medium,Medium,1,1,1,PVC Pipes,255080.51
105.9,3,1,1,1,1,Low,Low,Low,Low,Low,Medium,Medium,Low,Low,0,0,0,PPR Pipes,182337.27
122.0,3,2,1,1,1,Medium,High,Medium,Medium,Medium,High,Medium,Medium,Medium,0,0,0,PVC Pipes,218375.27
189.8,4,1,1,3,2,Medium,Low,Medium,Medium,High,Medium,Medium,Medium,Medium,0,1,0,PVC Pipes,334800.25
116.4,3,2,1,2,1,Medium,Medium,High,Low,Medium,Medium,Medium,Medium,Medium,0,1,0,PVC Pipes,246573.9
115.4,3,2,1,2,1,Medium,Medium,Medium,Medium,Medium,Medium,Low,Low,Medium,0,1,0,PPR Pipes,237343.02
129.1,3,2,1,1,1,Medium,Medium,Low,High,Medium,Medium,Medium,Low,Medium,0,0,0,PPR Pipes,233149.34
183.7,4,1,1,3,1,Low,Low,Low,Low,Low,Low,Medium,Low,Medium,0,0,1,PPR Pipes,341668.4
111.6,3,2,1,3,1,Low,Low,Low,Low,Low,Medium,Low,Low,Medium,1,0,0,PPR Pipes,253037.34
90.1,2,1,1,2,1,Low,Low,Medium,Low,Low,Medium,Low,Low,Low,0,0,1,PPR Pipes,181797.11
160.4,4,1,1,1,1,High,Medium,High,Medium,High,High,High,Medium,High,1,1,1,PVC Pipes,339275.43
130.1,3,2,1,1,1,High,Medium,High,Medium,Medium,Medium,High,High,High,1,1,1,PVC Pipes,289948.09
130.4,3,1,1,2,1,High,High,High,High,Medium,Medium,High,High,High,0,1,1,PVC Pipes,277403.7
151.4,4,2,1,3,1,High,High,High,Medium,High,High,Medium,High,Medium,1,1,1,PVC Pipes,355394.7
60.3,1,1,1,1,1,Medium,High,High,High,Medium,High,Medium,Medium,High,1,0,1,PVC Pipes,151074.1
143.1,4,1,1,1,1,Medium,High,Medium,Medium,Medium,Medium,High,High,Medium,1,1,0,PVC Pipes,296648.34
141.6,3,2,1,2,1,Low,Low,Low,Low,Low,Medium,Medium,Low,Medium,0,1,0,PVC Pipes,257857.15
108.5,2,1,1,2,1,Low,Low,Low,Low,Low,Low,Low,Low,Medium,0,0,0,PPR Pipes,190812.07
143.9,4,2,1,1,1,Low,Low,Medium,Medium,Low,Low,Medium,Medium,Low,0,0,0,PVC Pipes,277835.82
86.5,2,1,1,0,1,Medium,Medium,Medium,Medium,High,Medium,High,Medium,Medium,0,1,1,PVC Pipes,175620.31
92.6,2,1,1,2,1,Medium,Medium,Medium,Medium,Low,Low,High,Medium,Medium,1,1,1,PVC Pipes,214400.96
166.6,4,1,1,1,1,Medium,Medium,Medium,Medium,Medium,Medium,Low,High,Medium,0,1,1,PVC Pipes,267876.67
131.9,3,2,1,2,1,Low,Low,Low,Low,Medium,Medium,Medium,Low,Low,0,0,0,PPR Pipes,244458.57
85.0,2,1,1,1,1,High,High,High,Medium,High,High,Medium,High,High,0,1,1,PVC Pipes,184214.56
110.3,2,1,1,1,1,Medium,High,High,Medium,Medium,Low,Medium,Low,Medium,1,1,1,PPR Pipes,255843.9
152.5,4,2,1,0,1,Medium,Medium,High,High,Low,High,Medium,Medium,Medium,0,0,1,PVC Pipes,286552.54
90.3,2,1,1,2,1,High,High,High,Medium,Medium,High,High,Medium,Medium,1,1,1,PVC Pipes,221688.38
82.2,2,1,1,0,1,Medium,Low,Medium,Low,Medium,Medium,Medium,Low,Medium,1,1,1,PPR Pipes,164425.04
128.8,3,2,1,2,1,High,Medium,Medium,High,High,High,High,High,Medium,1,1,1,PVC Pipes,307937.88
132.4,3,1,1,3,1,Medium,Medium,High,Medium,Low,Medium,Medium,Medium,Medium,1,0,1,PVC Pipes,272250.66
132.0,3,2,1,1,1,Medium,Medium,High,Medium,Medium,High,Medium,Medium,Medium,1,1,0,PVC Pipes,279683.4
157.0,4,2,1,2,1,Medium,Medium,Medium,Medium,Medium,Medium,Low,High,Medium,0,0,0,PVC Pipes,280584.28
83.0,2,1,1,0,1,Medium,Medium,Medium,Medium,Medium,Low,Medium,High,Medium,0,1,0,PVC Pipes,155752.53
153.2,4,2,1,3,1,High,High,Medium,Medium,Medium,High,Medium,High,Medium,1,1,1,PVC Pipes,355111.32
71.1,2,1,1,2,1,Low,Low,Low,Medium,Low,Low,Low,Low,Low,0,0,1,PPR Pipes,137047.06
182.8,4,2,1,2,1,Medium,High,Medium,Low,Medium,Medium,Medium,Low,Medium,1,0,0,PPR Pipes,397742.12
65.2,2,1,1,1,1,Low,Medium,Low,Medium,Low,Medium,Low,Low,Low,0,0,0,PPR Pipes,130592.44
136.9,3,2,1,3,1,Medium,High,Medium,Medium,Medium,Medium,Low,Medium,Medium,1,1,0,PVC Pipes,306354.64
119.5,3,1,1,2,1,Medium,Medium,Low,Medium,Medium,Low,Medium,Medium,Low,1,1,1,PVC Pipes,244652.29
57.0,2,1,1,1,1,Medium,Low,Medium,Medium,Medium,Medium,Low,Medium,Medium,0,0,0,PVC Pipes,121503.64
204.3,5,2,1,2,2,Low,Medium,Medium,Medium,Low,Low,Low,Low,Low,0,0,0,PPR Pipes,348082.21
78.2,2,1,1,1,1,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium,1,0,1,PVC Pipes,184757.56
114.0,3,2,1,1,1,Low,Low,Medium,Low,Low,Low,Medium,Low,Low,0,0,0,PPR Pipes,236013.82
143.0,4,2,1,0,1,High,Medium,Medium,Medium,High,Medium,Medium,High,High,1,1,0,PVC Pipes,309635.03
147.5,3,2,1,2,1,Medium,High,Medium,Medium,Medium,Medium,High,Low,Medium,1,1,1,PPR Pipes,333625.3
94.0,2,1,1,0,1,Medium,Low,Low,High,Medium,Medium,High,High,Medium,0,1,1,PVC Pipes,183541.31
76.6,2,1,1,1,1,Medium,Medium,Medium,High,Medium,Medium,Medium,Medium,Medium,1,1,1,PVC Pipes,182464.13
168.5,4,2,1,2,1,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium,1,0,0,PVC Pipes,356791.26
165.5,4,1,1,3,1,High,High,Medium,Medium,High,High,Medium,High,High,1,1,1,PVC Pipes,351440.71
142.9,4,2,1,1,1,High,High,High,High,High,Medium,High,High,High,1,1,1,PVC Pipes,341287.6
66.3,2,1,1,1,1,Medium,Medium,Low,Medium,Low,Low,Medium,Low,High,1,1,0,PPR Pipes,146521.25
95.3,2,1,1,1,1,Medium,Medium,Medium,Medium,Medium,Medium,Low,Medium,Medium,1,1,0,PVC Pipes,194263.24
115.6,3,2,1,1,1,Medium,Medium,High,Medium,Medium,Low,Medium,High,Medium,1,0,0,PVC Pipes,266222.92
132.4,3,2,1,3,1,Medium,Medium,Medium,Low,Medium,Medium,Medium,Low,Medium,0,0,1,PPR Pipes,258328.21
119.5,3,1,1,0,1,Low,Low,Medium,Low,Medium,Low,Low,Low,Low,0,1,0,PPR Pipes,198404.18
231.2,5,2,1,1,2,Medium,Medium,Medium,Medium,Medium,Medium,Medium,High,Medium,0,1,1,PVC Pipes,395487.43
91.7,2,1,1,0,1,Medium,Medium,Medium,Medium,Medium,Medium,High,Medium,Medium,1,0,0,PVC Pipes,187852.76
124.4,3,1,1,3,1,Medium,Medium,Medium,Medium,Low,Medium,Medium,Medium,Low,0,1,1,PVC Pipes,242811.06
75.9,2,1,1,2,1,Medium,High,Medium,Medium,Medium,Low,Medium,Medium,Medium,0,0,0,PVC Pipes,164509.85
68.8,2,1,1,0,1,Low,Low,Low,Low,Medium,Low,Medium,Low,Medium,0,0,0,PPR Pipes,133965.29
115.1,3,2,1,2,1,Low,Medium,Low,Low,Low,Low,Medium,Low,Low,0,0,0,PPR Pipes,229663.66
119.4,3,2,1,2,1,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium,1,0,0,PVC Pipes,269830.53
140.4,3,2,1,1,1,High,High,Medium,High,High,Medium,High,High,High,1,0,0,PVC Pipes,304362.27
50.0,1,1,1,1,1,High,Medium,Medium,Medium,High,High,Medium,High,High,0,1,1,PVC Pipes,125496.03
122.2,3,2,1,0,1,Medium,Medium,Low,Medium,Low,Medium,High,Low,Low,0,0,1,PPR Pipes,236203.06
193.6,5,3,1,3,1,Medium,High,Medium,Low,Low,Medium,Medium,Medium,Medium,0,1,1,PVC Pipes,408914.91
103.3,2,1,1,0,1,High,High,High,High,High,High,High,High,Medium,0,1,1,PVC Pipes,194664.24
133.9,3,2,1,2,1,High,Medium,Medium,High,High,High,High,High,High,0,1,1,PVC Pipes,272994.48
209.5,5,3,1,3,1,Low,Low,Low,Low,Medium,Medium,Medium,Low,Low,0,0,0,PPR Pipes,392802.13
78.5,2,1,1,1,1,High,Medium,High,High,High,Medium,High,High,High,0,1,0,PVC Pipes,164022.99
130.4,3,2,1,3,1,Medium,Medium,Medium,Medium,High,Medium,High,Medium,Medium,0,0,1,PVC Pipes,266084.95
115.6,3,2,1,0,1,Medium,Low,Medium,Medium,Medium,High,Medium,Medium,Medium,1,1,0,PVC Pipes,228428.59
196.7,5,2,1,3,2,Medium,Medium,Medium,Medium,High,High,Medium,Medium,Low,1,1,1,PVC Pipes,425244.79
130.0,3,2,1,1,1,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium,High,0,0,0,PVC Pipes,249511.45
126.5,3,2,1,1,1,High,High,Medium,High,Medium,High,Medium,Medium,High,1,1,1,PVC Pipes,309316.88
105.6,3,2,1,1,1,High,High,High,High,High,High,High,High,High,1,1,0,PVC Pipes,254741.54
107.3,3,1,1,1,1,Medium,Medium,Medium,Medium,High,High,Low,Low,High,1,1,0,PPR Pipes,220528.17
77.2,2,1,1,2,1,High,High,High,Medium,Medium,High,High,High,High,1,1,0,PVC Pipes,187380.1
107.1,3,2,1,1,1,Low,Low,Medium,Low,Low,Low,Low,Low,Medium,0,0,0,PPR Pipes,202271.33
88.2,2,1,1,1,1,Low,Low,Low,Low,Medium,Low,Low,Low,Low,0,0,0,PPR Pipes,163245.18
139.5,3,2,1,2,1,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Low,Medium,0,1,0,PPR Pipes,279057.74
162.5,4,1,1,1,1,High,High,Medium,High,Medium,Medium,High,Medium,Medium,1,1,1,PVC Pipes,358589.58
83.0,2,1,1,1,1,Medium,Medium,Medium,Medium,Low,Medium,Medium,High,Medium,1,1,1,PVC Pipes,204183.62
