Brand,Floor_Type,Grade,Size_cm,Unit,Size_Length_cm,Size_Width_cm,Tile_Area_m2,Price_EGP
Gemma,Porcelain,Third,60x120,m2,60.0,120.0,0.72,438
Gemma,Porcelain,Third,60x120,m2,60.0,120.0,0.72,466
Gemma,Porcelain,Third,60x120,m2,60.0,120.0,0.72,440
Lecico,Porcelain,Third,60x120,m2,60.0,120.0,0.72,600
Lecico,Porcelain,First,60x120,m2,60.0,120.0,0.72,672
Ceramica Cleopatra,Ceramic,First,60x60,m2,60.0,60.0,0.36,265
Gemma,Porcelain,First,60x120,m2,60.0,120.0,0.72,869
Lecico,Porcelain,Second,60x120,m2,60.0,120.0,0.72,547
Alfa Ceramic,Porcelain,Second,60x120,m2,60.0,120.0,0.72,664
Alfa Ceramic,Porcelain,First,60x120,m2,60.0,120.0,0.72,884
Gemma,Porcelain,First,60x120,m2,60.0,120.0,0.72,876
Gemma,Ceramic,First,60x60,m2,60.0,60.0,0.36,278
Royal Ceramica,Porcelain,Third,60x120,m2,60.0,120.0,0.72,534
Royal Ceramica,Porcelain,First,60x120,m2,60.0,120.0,0.72,811
Ceramica Cleopatra,Ceramic,Third,60x60,m2,60.0,60.0,0.36,245
Ceramica Cleopatra,Porcelain,Second,60x120,m2,60.0,120.0,0.72,657
Alfa Ceramic,Porcelain,Second,60x120,m2,60.0,120.0,0.72,750
Royal Ceramica,Ceramic,First,60x60,m2,60.0,60.0,0.36,276
Gemma,Ceramic,First,60x60,m2,60.0,60.0,0.36,260
Lecico,Porcelain,Second,60x120,m2,60.0,120.0,0.72,554
Lecico,Ceramic,First,60x60,m2,60.0,60.0,0.36,303
Gemma,Porcelain,Third,60x120,m2,60.0,120.0,0.72,559
Alfa Ceramic,Porcelain,Second,60x120,m2,60.0,120.0,0.72,737
Lecico,Porcelain,Second,60x120,m2,60.0,120.0,0.72,547
Gemma,Porcelain,Third,60x120,m2,60.0,120.0,0.72,460
Gemma,Ceramic,Second,60x60,m2,60.0,60.0,0.36,236
Gemma,Ceramic,Second,60x60,m2,60.0,60.0,0.36,248
Alfa Ceramic,Porcelain,Second,60x120,m2,60.0,120.0,0.72,540
Lecico,Porcelain,First,60x120,m2,60.0,120.0,0.72,716
Ceramica Cleopatra,Ceramic,First,60x60,m2,60.0,60.0,0.36,268
Royal Ceramica,Ceramic,Second,60x60,m2,60.0,60.0,0.36,289
Gemma,Porcelain,First,60x120,m2,60.0,120.0,0.72,856
Ceramica Cleopatra,Porcelain,First,60x120,m2,60.0,120.0,0.72,801
Ceramica Cleopatra,Porcelain,Third,60x120,m2,60.0,120.0,0.72,502
Lecico,Porcelain,Third,60x120,m2,60.0,120.0,0.72,563
Gemma,Porcelain,Second,60x120,m2,60.0,120.0,0.72,655
Lecico,Ceramic,First,60x60,m2,60.0,60.0,0.36,324
Alfa Ceramic,Ceramic,Second,60x60,m2,60.0,60.0,0.36,232
Alfa Ceramic,Porcelain,First,60x120,m2,60.0,120.0,0.72,858
Alfa Ceramic,Porcelain,Second,60x120,m2,60.0,120.0,0.72,600
Alfa Ceramic,Ceramic,First,60x60,m2,60.0,60.0,0.36,378
Alfa Ceramic,Porcelain,Third,60x120,m2,60.0,120.0,0.72,553
Royal Ceramica,Porcelain,Second,60x120,m2,60.0,120.0,0.72,724
Gemma,Ceramic,Second,60x60,m2,60.0,60.0,0.36,296
Alfa Ceramic,Porcelain,Second,60x120,m2,60.0,120.0,0.72,545
Gemma,Ceramic,First,60x60,m2,60.0,60.0,0.36,346
Lecico,Ceramic,Third,60x60,m2,60.0,60.0,0.36,169
Lecico,Porcelain,Second,60x120,m2,60.0,120.0,0.72,536
Ceramica Cleopatra,Porcelain,Second,60x120,m2,60.0,120.0,0.72,642
Alfa Ceramic,Porcelain,Second,60x120,m2,60.0,120.0,0.72,597
Gemma,Ceramic,Second,60x60,m2,60.0,60.0,0.36,261
Royal Ceramica,Porcelain,Second,60x120,m2,60.0,120.0,0.72,716
Alfa Ceramic,Porcelain,First,60x120,m2,60.0,120.0,0.72,729
Ceramica Cleopatra,Porcelain,First,60x120,m2,60.0,120.0,0.72,924
Gemma,Porcelain,First,60x120,m2,60.0,120.0,0.72,856
Alfa Ceramic,Porcelain,Second,60x120,m2,60.0,120.0,0.72,540
Ceramica Cleopatra,Porcelain,First,60x120,m2,60.0,120.0,0.72,934
Gemma,Porcelain,First,60x120,m2,60.0,120.0,0.72,687
Gemma,Ceramic,Second,60x60,m2,60.0,60.0,0.36,261
Lecico,Porcelain,First,60x120,m2,60.0,120.0,0.72,690
Ceramica Cleopatra,Porcelain,Third,60x120,m2,60.0,120.0,0.72,516
Ceramica Cleopatra,Ceramic,First,60x60,m2,60.0,60.0,0.36,332
Ceramica Cleopatra,Ceramic,Second,60x60,m2,60.0,60.0,0.36,244
Royal Ceramica,Ceramic,Third,60x60,m2,60.0,60.0,0.36,195
Lecico,Porcelain,Second,60x120,m2,60.0,120.0,0.72,652
Royal Ceramica,Porcelain,First,60x120,m2,60.0,120.0,0.72,845
Ceramica Cleopatra,Ceramic,Second,60x60,m2,60.0,60.0,0.36,224
Gemma,Porcelain,First,60x120,m2,60.0,120.0,0.72,913
Ceramica Cleopatra,Porcelain,Second,60x120,m2,60.0,120.0,0.72,572
Royal Ceramica,Ceramic,First,60x60,m2,60.0,60.0,0.36,279
Gemma,Ceramic,First,60x60,m2,60.0,60.0,0.36,321
Lecico,Ceramic,First,60x60,m2,60.0,60.0,0.36,346
Ceramica Cleopatra,Porcelain,Third,60x120,m2,60.0,120.0,0.72,603
Gemma,Porcelain,First,60x120,m2,60.0,120.0,0.72,840
Ceramica Cleopatra,Ceramic,Second,60x60,m2,60.0,60.0,0.36,224
Ceramica Cleopatra,Ceramic,Second,60x60,m2,60.0,60.0,0.36,224
Royal Ceramica,Ceramic,Third,60x60,m2,60.0,60.0,0.36,226
Alfa Ceramic,Porcelain,Third,60x120,m2,60.0,120.0,0.72,508
Lecico,Ceramic,Second,60x60,m2,60.0,60.0,0.36,253
Alfa Ceramic,Ceramic,First,60x60,m2,60.0,60.0,0.36,317
Alfa Ceramic,Ceramic,Third,60x60,m2,60.0,60.0,0.36,204
Ceramica Cleopatra,Porcelain,First,60x120,m2,60.0,120.0,0.72,746
Gemma,Ceramic,First,60x60,m2,60.0,60.0,0.36,321
Royal Ceramica,Porcelain,First,60x120,m2,60.0,120.0,0.72,734
Gemma,Ceramic,First,60x60,m2,60.0,60.0,0.36,278
Alfa Ceramic,Porcelain,Third,60x120,m2,60.0,120.0,0.72,612
Royal Ceramica,Porcelain,First,60x120,m2,60.0,120.0,0.72,704
Lecico,Porcelain,First,60x120,m2,60.0,120.0,0.72,728
Ceramica Cleopatra,Porcelain,First,60x120,m2,60.0,120.0,0.72,801
Royal Ceramica,Ceramic,First,60x60,m2,60.0,60.0,0.36,267
Royal Ceramica,Porcelain,Second,60x120,m2,60.0,120.0,0.72,674
Gemma,Porcelain,First,60x120,m2,60.0,120.0,0.72,947
Gemma,Porcelain,Third,60x120,m2,60.0,120.0,0.72,559
Alfa Ceramic,Ceramic,Third,60x60,m2,60.0,60.0,0.36,221
Royal Ceramica,Porcelain,First,60x120,m2,60.0,120.0,0.72,743
Alfa Ceramic,Porcelain,Third,60x120,m2,60.0,120.0,0.72,492
Royal Ceramica,Ceramic,Second,60x60,m2,60.0,60.0,0.36,299
Alfa Ceramic,Ceramic,Second,60x60,m2,60.0,60.0,0.36,284
Royal Ceramica,Ceramic,First,60x60,m2,60.0,60.0,0.36,276
Ceramica Cleopatra,Ceramic,First,60x60,m2,60.0,60.0,0.36,330
Gemma,Ceramic,First,60x60,m2,60.0,60.0,0.36,358
Lecico,Porcelain,Second,60x120,m2,60.0,120.0,0.72,730
Alfa Ceramic,Porcelain,Second,60x120,m2,60.0,120.0,0.72,600
Lecico,Ceramic,First,60x60,m2,60.0,60.0,0.36,270
Alfa Ceramic,Porcelain,First,60x120,m2,60.0,120.0,0.72,657
Gemma,Porcelain,Third,60x120,m2,60.0,120.0,0.72,528
Royal Ceramica,Porcelain,First,60x120,m2,60.0,120.0,0.72,855
Lecico,Ceramic,Second,60x60,m2,60.0,60.0,0.36,236
Royal Ceramica,Ceramic,First,60x60,m2,60.0,60.0,0.36,371
Gemma,Ceramic,Second,60x60,m2,60.0,60.0,0.36,280
Royal Ceramica,Porcelain,First,60x120,m2,60.0,120.0,0.72,757
Lecico,Porcelain,First,60x120,m2,60.0,120.0,0.72,752
Royal Ceramica,Ceramic,Third,60x60,m2,60.0,60.0,0.36,182
Lecico,Porcelain,Second,60x120,m2,60.0,120.0,0.72,531
Alfa Ceramic,Porcelain,First,60x120,m2,60.0,120.0,0.72,858
Gemma,Porcelain,Third,60x120,m2,60.0,120.0,0.72,592
Lecico,Porcelain,Second,60x120,m2,60.0,120.0,0.72,672
Alfa Ceramic,Porcelain,First,60x120,m2,60.0,120.0,0.72,767
Alfa Ceramic,Ceramic,Second,60x60,m2,60.0,60.0,0.36,247
Ceramica Cleopatra,Porcelain,First,60x120,m2,60.0,120.0,0.72,727
Lecico,Porcelain,Third,60x120,m2,60.0,120.0,0.72,550
Alfa Ceramic,Porcelain,Second,60x120,m2,60.0,120.0,0.72,525
Ceramica Cleopatra,Porcelain,Second,60x120,m2,60.0,120.0,0.72,552
Royal Ceramica,Ceramic,Second,60x60,m2,60.0,60.0,0.36,264
Lecico,Porcelain,Third,60x120,m2,60.0,120.0,0.72,522
Ceramica Cleopatra,Ceramic,First,60x60,m2,60.0,60.0,0.36,265
Lecico,Porcelain,First,60x120,m2,60.0,120.0,0.72,740
Lecico,Porcelain,Third,60x120,m2,60.0,120.0,0.72,568
Lecico,Porcelain,Second,60x120,m2,60.0,120.0,0.72,667
Gemma,Porcelain,Second,60x120,m2,60.0,120.0,0.72,584
Gemma,Ceramic,Second,60x60,m2,60.0,60.0,0.36,280
Ceramica Cleopatra,Porcelain,First,60x120,m2,60.0,120.0,0.72,770
Royal Ceramica,Porcelain,Third,60x120,m2,60.0,120.0,0.72,534
Gemma,Porcelain,First,60x120,m2,60.0,120.0,0.72,947
Ceramica Cleopatra,Porcelain,First,60x120,m2,60.0,120.0,0.72,813
Alfa Ceramic,Ceramic,Second,60x60,m2,60.0,60.0,0.36,240
Gemma,Ceramic,Third,60x60,m2,60.0,60.0,0.36,173
Royal Ceramica,Ceramic,Third,60x60,m2,60.0,60.0,0.36,230
Alfa Ceramic,Porcelain,First,60x120,m2,60.0,120.0,0.72,676
Gemma,Porcelain,Third,60x120,m2,60.0,120.0,0.72,496
Gemma,Porcelain,Third,60x120,m2,60.0,120.0,0.72,438
Alfa Ceramic,Porcelain,Third,60x120,m2,60.0,120.0,0.72,612
Ceramica Cleopatra,Porcelain,First,60x120,m2,60.0,120.0,0.72,844
Ceramica Cleopatra,Ceramic,Third,60x60,m2,60.0,60.0,0.36,238
Royal Ceramica,Ceramic,First,60x60,m2,60.0,60.0,0.36,371
Lecico,Porcelain,First,60x120,m2,60.0,120.0,0.72,943
Ceramica Cleopatra,Porcelain,First,60x120,m2,60.0,120.0,0.72,924
Royal Ceramica,Porcelain,First,60x120,m2,60.0,120.0,0.72,790
Ceramica Cleopatra,Porcelain,Third,60x120,m2,60.0,120.0,0.72,574
Royal Ceramica,Porcelain,First,60x120,m2,60.0,120.0,0.72,835
Lecico,Ceramic,First,60x60,m2,60.0,60.0,0.36,377
Ceramica Cleopatra,Ceramic,Third,60x60,m2,60.0,60.0,0.36,238
Lecico,Porcelain,First,60x120,m2,60.0,120.0,0.72,855
Alfa Ceramic,Ceramic,Second,60x60,m2,60.0,60.0,0.36,256
Ceramica Cleopatra,Porcelain,First,60x120,m2,60.0,120.0,0.72,800
Lecico,Ceramic,Second,60x60,m2,60.0,60.0,0.36,240
Royal Ceramica,Porcelain,First,60x120,m2,60.0,120.0,0.72,757
Ceramica Cleopatra,Porcelain,First,60x120,m2,60.0,120.0,0.72,934
Ceramica Cleopatra,Ceramic,Second,60x60,m2,60.0,60.0,0.36,264
Alfa Ceramic,Porcelain,First,60x120,m2,60.0,120.0,0.72,767
Lecico,Porcelain,Third,60x120,m2,60.0,120.0,0.72,453
Lecico,Porcelain,Second,60x120,m2,60.0,120.0,0.72,705
Lecico,Porcelain,Third,60x120,m2,60.0,120.0,0.72,466
Royal Ceramica,Porcelain,First,60x120,m2,60.0,120.0,0.72,855
Gemma,Porcelain,First,60x120,m2,60.0,120.0,0.72,893
Royal Ceramica,Porcelain,First,60x120,m2,60.0,120.0,0.72,782
Ceramica Cleopatra,Ceramic,First,60x60,m2,60.0,60.0,0.36,339
Ceramica Cleopatra,Ceramic,Second,60x60,m2,60.0,60.0,0.36,265
Royal Ceramica,Porcelain,Third,60x120,m2,60.0,120.0,0.72,520
Royal Ceramica,Porcelain,First,60x120,m2,60.0,120.0,0.72,762
Gemma,Porcelain,First,60x120,m2,60.0,120.0,0.72,944
Lecico,Ceramic,First,60x60,m2,60.0,60.0,0.36,372
Alfa Ceramic,Porcelain,Third,60x120,m2,60.0,120.0,0.72,492
Ceramica Cleopatra,Porcelain,Second,60x120,m2,60.0,120.0,0.72,549
Lecico,Porcelain,Third,60x120,m2,60.0,120.0,0.72,499
Gemma,Porcelain,First,60x120,m2,60.0,120.0,0.72,890
Gemma,Porcelain,Third,60x120,m2,60.0,120.0,0.72,592
Gemma,Porcelain,First,60x120,m2,60.0,120.0,0.72,819
Alfa Ceramic,Ceramic,First,60x60,m2,60.0,60.0,0.36,284
Royal Ceramica,Porcelain,Second,60x120,m2,60.0,120.0,0.72,645
Lecico,Ceramic,First,60x60,m2,60.0,60.0,0.36,372
Alfa Ceramic,Ceramic,Second,60x60,m2,60.0,60.0,0.36,208
Ceramica Cleopatra,Ceramic,Third,60x60,m2,60.0,60.0,0.36,178
Gemma,Ceramic,Second,60x60,m2,60.0,60.0,0.36,296
Lecico,Porcelain,Second,60x120,m2,60.0,120.0,0.72,554
Royal Ceramica,Porcelain,First,60x120,m2,60.0,120.0,0.72,670
Ceramica Cleopatra,Porcelain,First,60x120,m2,60.0,120.0,0.72,802
Alfa Ceramic,Porcelain,Second,60x120,m2,60.0,120.0,0.72,713
Gemma,Porcelain,Second,60x120,m2,60.0,120.0,0.72,748
Ceramica Cleopatra,Porcelain,First,60x120,m2,60.0,120.0,0.72,802
Lecico,Porcelain,Second,60x120,m2,60.0,120.0,0.72,586
Lecico,Ceramic,Second,60x60,m2,60.0,60.0,0.36,253
Lecico,Porcelain,Second,60x120,m2,60.0,120.0,0.72,531
Lecico,Ceramic,Third,60x60,m2,60.0,60.0,0.36,169
Lecico,Ceramic,First,60x60,m2,60.0,60.0,0.36,346
Lecico,Ceramic,First,60x60,m2,60.0,60.0,0.36,324
Royal Ceramica,Porcelain,First,60x120,m2,60.0,120.0,0.72,757
Lecico,Porcelain,Second,60x120,m2,60.0,120.0,0.72,547
Alfa Ceramic,Ceramic,Second,60x60,m2,60.0,60.0,0.36,284
Lecico,Porcelain,First,60x120,m2,60.0,120.0,0.72,837
Gemma,Porcelain,First,60x120,m2,60.0,120.0,0.72,850
Royal Ceramica,Porcelain,First,60x120,m2,60.0,120.0,0.72,748
Lecico,Ceramic,First,60x60,m2,60.0,60.0,0.36,279
Royal Ceramica,Porcelain,First,60x120,m2,60.0,120.0,0.72,844
Lecico,Porcelain,Second,60x120,m2,60.0,120.0,0.72,531
Gemma,Ceramic,First,60x60,m2,60.0,60.0,0.36,284
Royal Ceramica,Ceramic,Third,60x60,m2,60.0,60.0,0.36,245
Lecico,Ceramic,First,60x60,m2,60.0,60.0,0.36,360
Alfa Ceramic,Ceramic,Third,60x60,m2,60.0,60.0,0.36,205
Ceramica Cleopatra,Ceramic,Third,60x60,m2,60.0,60.0,0.36,172
Ceramica Cleopatra,Ceramic,Third,60x60,m2,60.0,60.0,0.36,232
Gemma,Ceramic,First,60x60,m2,60.0,60.0,0.36,355
Lecico,Ceramic,First,60x60,m2,60.0,60.0,0.36,298
Alfa Ceramic,Porcelain,First,60x120,m2,60.0,120.0,0.72,657
Royal Ceramica,Ceramic,First,60x60,m2,60.0,60.0,0.36,349
Lecico,Ceramic,Second,60x60,m2,60.0,60.0,0.36,267
Ceramica Cleopatra,Ceramic,Third,60x60,m2,60.0,60.0,0.36,174
Lecico,Porcelain,First,60x120,m2,60.0,120.0,0.72,855
Lecico,Ceramic,Second,60x60,m2,60.0,60.0,0.36,240
Gemma,Ceramic,First,60x60,m2,60.0,60.0,0.36,321
Lecico,Ceramic,First,60x60,m2,60.0,60.0,0.36,360
Ceramica Cleopatra,Porcelain,Second,60x120,m2,60.0,120.0,0.72,699
Royal Ceramica,Porcelain,First,60x120,m2,60.0,120.0,0.72,751
Royal Ceramica,Porcelain,First,60x120,m2,60.0,120.0,0.72,704
Alfa Ceramic,Ceramic,Third,60x60,m2,60.0,60.0,0.36,198
Royal Ceramica,Porcelain,First,60x120,m2,60.0,120.0,0.72,743
Alfa Ceramic,Ceramic,Second,60x60,m2,60.0,60.0,0.36,208
Ceramica Cleopatra,Porcelain,First,60x120,m2,60.0,120.0,0.72,813
Royal Ceramica,Ceramic,First,60x60,m2,60.0,60.0,0.36,267
Ceramica Cleopatra,Porcelain,Third,60x120,m2,60.0,120.0,0.72,438
Alfa Ceramic,Porcelain,First,60x120,m2,60.0,120.0,0.72,847
Lecico,Porcelain,First,60x120,m2,60.0,120.0,0.72,672
Gemma,Ceramic,Second,60x60,m2,60.0,60.0,0.36,272
Royal Ceramica,Ceramic,First,60x60,m2,60.0,60.0,0.36,359
Ceramica Cleopatra,Porcelain,First,60x120,m2,60.0,120.0,0.72,801
Royal Ceramica,Porcelain,First,60x120,m2,60.0,120.0,0.72,689
Lecico,Porcelain,First,60x120,m2,60.0,120.0,0.72,862
Ceramica Cleopatra,Porcelain,Second,60x120,m2,60.0,120.0,0.72,572
Royal Ceramica,Ceramic,Third,60x60,m2,60.0,60.0,0.36,199
Royal Ceramica,Porcelain,Third,60x120,m2,60.0,120.0,0.72,497
Ceramica Cleopatra,Porcelain,Second,60x120,m2,60.0,120.0,0.72,642
Gemma,Ceramic,Second,60x60,m2,60.0,60.0,0.36,236
Lecico,Ceramic,Second,60x60,m2,60.0,60.0,0.36,279
Ceramica Cleopatra,Porcelain,Second,60x120,m2,60.0,120.0,0.72,623
Ceramica Cleopatra,Ceramic,Third,60x60,m2,60.0,60.0,0.36,174
Ceramica Cleopatra,Ceramic,Second,60x60,m2,60.0,60.0,0.36,265
Lecico,Porcelain,Third,60x120,m2,60.0,120.0,0.72,456
Alfa Ceramic,Porcelain,First,60x120,m2,60.0,120.0,0.72,672
Lecico,Ceramic,Second,60x60,m2,60.0,60.0,0.36,279
Gemma,Porcelain,First,60x120,m2,60.0,120.0,0.72,893
Lecico,Ceramic,Third,60x60,m2,60.0,60.0,0.36,169
Gemma,Porcelain,Second,60x120,m2,60.0,120.0,0.72,748
Gemma,Porcelain,First,60x120,m2,60.0,120.0,0.72,687
Royal Ceramica,Ceramic,Second,60x60,m2,60.0,60.0,0.36,236
Alfa Ceramic,Porcelain,First,60x120,m2,60.0,120.0,0.72,672
Alfa Ceramic,Porcelain,First,60x120,m2,60.0,120.0,0.72,660
Gemma,Porcelain,Second,60x120,m2,60.0,120.0,0.72,600
Royal Ceramica,Porcelain,Second,60x120,m2,60.0,120.0,0.72,539
Alfa Ceramic,Porcelain,Second,60x120,m2,60.0,120.0,0.72,664
Royal Ceramica,Porcelain,Second,60x120,m2,60.0,120.0,0.72,703
Gemma,Porcelain,First,60x120,m2,60.0,120.0,0.72,793
Gemma,Ceramic,First,60x60,m2,60.0,60.0,0.36,355
Ceramica Cleopatra,Porcelain,Second,60x120,m2,60.0,120.0,0.72,549
Alfa Ceramic,Porcelain,Second,60x120,m2,60.0,120.0,0.72,593
Alfa Ceramic,Porcelain,Third,60x120,m2,60.0,120.0,0.72,460
Alfa Ceramic,Ceramic,Second,60x60,m2,60.0,60.0,0.36,208
Ceramica Cleopatra,Porcelain,First,60x120,m2,60.0,120.0,0.72,770
Lecico,Ceramic,Second,60x60,m2,60.0,60.0,0.36,240
Ceramica Cleopatra,Porcelain,Second,60x120,m2,60.0,120.0,0.72,699
Lecico,Porcelain,First,60x120,m2,60.0,120.0,0.72,781
Gemma,Porcelain,Second,60x120,m2,60.0,120.0,0.72,655
Lecico,Ceramic,Third,60x60,m2,60.0,60.0,0.36,196
Gemma,Ceramic,Third,60x60,m2,60.0,60.0,0.36,172
Royal Ceramica,Porcelain,Second,60x120,m2,60.0,120.0,0.72,528
Royal Ceramica,Porcelain,First,60x120,m2,60.0,120.0,0.72,670
Gemma,Porcelain,Second,60x120,m2,60.0,120.0,0.72,584
Ceramica Cleopatra,Porcelain,First,60x120,m2,60.0,120.0,0.72,679
Royal Ceramica,Ceramic,Third,60x60,m2,60.0,60.0,0.36,235
Royal Ceramica,Porcelain,Second,60x120,m2,60.0,120.0,0.72,724
Royal Ceramica,Ceramic,Third,60x60,m2,60.0,60.0,0.36,221
Royal Ceramica,Porcelain,Second,60x120,m2,60.0,120.0,0.72,694
Royal Ceramica,Ceramic,Third,60x60,m2,60.0,60.0,0.36,221
Gemma,Porcelain,Third,60x120,m2,60.0,120.0,0.72,460
Lecico,Ceramic,First,60x60,m2,60.0,60.0,0.36,279
Alfa Ceramic,Porcelain,Second,60x120,m2,60.0,120.0,0.72,540
Royal Ceramica,Ceramic,Third,60x60,m2,60.0,60.0,0.36,221
Gemma,Ceramic,Second,60x60,m2,60.0,60.0,0.36,233
Ceramica Cleopatra,Ceramic,First,60x60,m2,60.0,60.0,0.36,371
Gemma,Porcelain,First,60x120,m2,60.0,120.0,0.72,920
Alfa Ceramic,Ceramic,First,60x60,m2,60.0,60.0,0.36,378
Alfa Ceramic,Porcelain,Third,60x120,m2,60.0,120.0,0.72,494
Lecico,Porcelain,First,60x120,m2,60.0,120.0,0.72,917
Royal Ceramica,Porcelain,Third,60x120,m2,60.0,120.0,0.72,569
Lecico,Ceramic,First,60x60,m2,60.0,60.0,0.36,281
Gemma,Porcelain,First,60x120,m2,60.0,120.0,0.72,769
Royal Ceramica,Porcelain,Third,60x120,m2,60.0,120.0,0.72,607
Ceramica Cleopatra,Porcelain,First,60x120,m2,60.0,120.0,0.72,826
Gemma,Ceramic,Second,60x60,m2,60.0,60.0,0.36,233
Alfa Ceramic,Ceramic,Second,60x60,m2,60.0,60.0,0.36,262
Royal Ceramica,Porcelain,First,60x120,m2,60.0,120.0,0.72,676
Gemma,Porcelain,Second,60x120,m2,60.0,120.0,0.72,576
Gemma,Ceramic,First,60x60,m2,60.0,60.0,0.36,286
Gemma,Porcelain,Second,60x120,m2,60.0,120.0,0.72,681
Gemma,Porcelain,Second,60x120,m2,60.0,120.0,0.72,660
Alfa Ceramic,Porcelain,First,60x120,m2,60.0,120.0,0.72,772
Gemma,Ceramic,Third,60x60,m2,60.0,60.0,0.36,211
Alfa Ceramic,Porcelain,Third,60x120,m2,60.0,120.0,0.72,443
Gemma,Ceramic,Third,60x60,m2,60.0,60.0,0.36,211
Gemma,Porcelain,Second,60x120,m2,60.0,120.0,0.72,731
Alfa Ceramic,Porcelain,Second,60x120,m2,60.0,120.0,0.72,600
Lecico,Porcelain,First,60x120,m2,60.0,120.0,0.72,943
Lecico,Porcelain,First,60x120,m2,60.0,120.0,0.72,728
Gemma,Ceramic,First,60x60,m2,60.0,60.0,0.36,358
Royal Ceramica,Porcelain,First,60x120,m2,60.0,120.0,0.72,811
Ceramica Cleopatra,Porcelain,First,60x120,m2,60.0,120.0,0.72,826
Ceramica Cleopatra,Ceramic,First,60x60,m2,60.0,60.0,0.36,268
Alfa Ceramic,Porcelain,Third,60x120,m2,60.0,120.0,0.72,555
Alfa Ceramic,Porcelain,First,60x120,m2,60.0,120.0,0.72,660
Ceramica Cleopatra,Porcelain,First,60x120,m2,60.0,120.0,0.72,770
Gemma,Porcelain,First,60x120,m2,60.0,120.0,0.72,821
Royal Ceramica,Porcelain,First,60x120,m2,60.0,120.0,0.72,748
Alfa Ceramic,Porcelain,First,60x120,m2,60.0,120.0,0.72,657
Royal Ceramica,Porcelain,Second,60x120,m2,60.0,120.0,0.72,633
Ceramica Cleopatra,Ceramic,Third,60x60,m2,60.0,60.0,0.36,174
Ceramica Cleopatra,Porcelain,First,60x120,m2,60.0,120.0,0.72,844
Royal Ceramica,Ceramic,Second,60x60,m2,60.0,60.0,0.36,221
Gemma,Ceramic,First,60x60,m2,60.0,60.0,0.36,284
Lecico,Ceramic,First,60x60,m2,60.0,60.0,0.36,270
Lecico,Ceramic,First,60x60,m2,60.0,60.0,0.36,303
Ceramica Cleopatra,Porcelain,First,60x120,m2,60.0,120.0,0.72,679
Alfa Ceramic,Porcelain,Second,60x120,m2,60.0,120.0,0.72,525
Alfa Ceramic,Porcelain,First,60x120,m2,60.0,120.0,0.72,672
Lecico,Ceramic,First,60x60,m2,60.0,60.0,0.36,298
Royal Ceramica,Ceramic,First,60x60,m2,60.0,60.0,0.36,327
Alfa Ceramic,Porcelain,Third,60x120,m2,60.0,120.0,0.72,612
Lecico,Porcelain,First,60x120,m2,60.0,120.0,0.72,862
Alfa Ceramic,Ceramic,First,60x60,m2,60.0,60.0,0.36,284
Gemma,Porcelain,First,60x120,m2,60.0,120.0,0.72,766
Gemma,Ceramic,First,60x60,m2,60.0,60.0,0.36,284
Alfa Ceramic,Porcelain,First,60x120,m2,60.0,120.0,0.72,906
Royal Ceramica,Porcelain,Second,60x120,m2,60.0,120.0,0.72,531
Royal Ceramica,Ceramic,First,60x60,m2,60.0,60.0,0.36,279
Royal Ceramica,Porcelain,First,60x120,m2,60.0,120.0,0.72,811
Royal Ceramica,Porcelain,Second,60x120,m2,60.0,120.0,0.72,633
Alfa Ceramic,Porcelain,First,60x120,m2,60.0,120.0,0.72,748
Lecico,Ceramic,Second,60x60,m2,60.0,60.0,0.36,219
Ceramica Cleopatra,Porcelain,First,60x120,m2,60.0,120.0,0.72,698
Ceramica Cleopatra,Porcelain,Third,60x120,m2,60.0,120.0,0.72,614
Gemma,Porcelain,First,60x120,m2,60.0,120.0,0.72,835
Royal Ceramica,Porcelain,Third,60x120,m2,60.0,120.0,0.72,497
Alfa Ceramic,Ceramic,Second,60x60,m2,60.0,60.0,0.36,247
Lecico,Porcelain,Second,60x120,m2,60.0,120.0,0.72,554
Lecico,Porcelain,First,60x120,m2,60.0,120.0,0.72,752
Gemma,Ceramic,Third,60x60,m2,60.0,60.0,0.36,201
Ceramica Cleopatra,Porcelain,Third,60x120,m2,60.0,120.0,0.72,488
Gemma,Porcelain,First,60x120,m2,60.0,120.0,0.72,819
Gemma,Porcelain,Third,60x120,m2,60.0,120.0,0.72,592
Ceramica Cleopatra,Porcelain,Second,60x120,m2,60.0,120.0,0.72,699
Alfa Ceramic,Ceramic,Third,60x60,m2,60.0,60.0,0.36,191
Ceramica Cleopatra,Porcelain,First,60x120,m2,60.0,120.0,0.72,764
Royal Ceramica,Porcelain,First,60x120,m2,60.0,120.0,0.72,845
Ceramica Cleopatra,Ceramic,First,60x60,m2,60.0,60.0,0.36,330
Lecico,Porcelain,First,60x120,m2,60.0,120.0,0.72,701
Ceramica Cleopatra,Porcelain,Third,60x120,m2,60.0,120.0,0.72,516
Gemma,Porcelain,First,60x120,m2,60.0,120.0,0.72,766
Lecico,Porcelain,First,60x120,m2,60.0,120.0,0.72,914
Ceramica Cleopatra,Porcelain,Second,60x120,m2,60.0,120.0,0.72,612
Alfa Ceramic,Ceramic,First,60x60,m2,60.0,60.0,0.36,287
Lecico,Porcelain,First,60x120,m2,60.0,120.0,0.72,831
Royal Ceramica,Porcelain,Second,60x120,m2,60.0,120.0,0.72,703
Lecico,Porcelain,Third,60x120,m2,60.0,120.0,0.72,563
