Brand,Product_Name,Paint_Category,Paint_Type,Finish,Application,Quality_Level,Quality_Score,Coverage_m2_per_L,Coats,Unit,Waste_Factor,Quantity_Rule,Rule_Value,Required_For,Optional,Price_EGP,Category,Subcategory,Grade,Quality_Price_Band,Apartment_Area_m2,Estimated_Paintable_Area_m2,Estimated_Quantity_L,Estimated_Total_Cost,Finishing_Category
Jotun,Interior Primer,Interior,Primer,Matte,Walls,Low,7.2,11,1,Liter,0.08,Paintable_Area/Coverage,1,Walls,False,49,Paints,Interior,Not Applicable,Low: <= 56,100,300,29.454545454545453,1443.2727272727273,Paints
GLC,Interior Top Coat,Interior,Top Coat,Matte,Walls,High,8.5,10,2,Liter,0.1,Paintable_Area/Coverage,1,Walls,False,218,Paints,Interior,Not Applicable,High: > 147,100,300,66.0,14388.0,Paints
Pachin,Interior Top Coat,Interior,Top Coat,Matte,Walls,Medium,8.5,10,2,Liter,0.1,Paintable_Area/Coverage,1,Walls,False,147,Paints,Interior,Not Applicable,Medium: 56 - 147,100,300,66.0,9702.0,Paints
Pachin,Interior Top Coat,Interior,Top Coat,Matte,Walls,High,8.5,10,2,Liter,0.1,Paintable_Area/Coverage,1,Walls,False,219,Paints,Interior,Not Applicable,High: > 147,100,300,66.0,14454.0,Paints
Sipes,Interior Top Coat,Interior,Top Coat,Matte,Walls,Medium,8.5,10,2,Liter,0.1,Paintable_Area/Coverage,1,Walls,False,135,Paints,Interior,Not Applicable,Medium: 56 - 147,100,300,66.0,8910.0,Paints
Pachin,Interior Primer,Interior,Primer,Matte,Walls,Low,7.2,11,1,Liter,0.08,Paintable_Area/Coverage,1,Walls,False,35,Paints,Interior,Not Applicable,Low: <= 56,100,300,29.454545454545453,1030.9090909090908,Paints
Jotun,Interior Primer,Interior,Primer,Matte,Walls,Low,7.2,11,1,Liter,0.08,Paintable_Area/Coverage,1,Walls,False,51,Paints,Interior,Not Applicable,Low: <= 56,100,300,29.454545454545453,1502.181818181818,Paints
Pachin,Interior Top Coat,Interior,Top Coat,Matte,Walls,High,8.5,10,2,Liter,0.1,Paintable_Area/Coverage,1,Walls,False,201,Paints,Interior,Not Applicable,High: > 147,100,300,66.0,13266.0,Paints
Jotun,Interior Primer,Interior,Primer,Matte,Walls,Low,7.2,11,1,Liter,0.08,Paintable_Area/Coverage,1,Walls,False,50,Paints,Interior,Not Applicable,Low: <= 56,100,300,29.454545454545453,1472.7272727272727,Paints
Pachin,Interior Top Coat,Interior,Top Coat,Matte,Walls,High,8.5,10,2,Liter,0.1,Paintable_Area/Coverage,1,Walls,False,166,Paints,Interior,Not Applicable,High: > 147,100,300,66.0,10956.0,Paints
GLC,Interior Top Coat,Interior,Top Coat,Matte,Walls,High,8.5,10,2,Liter,0.1,Paintable_Area/Coverage,1,Walls,False,158,Paints,Interior,Not Applicable,High: > 147,100,300,66.0,10428.0,Paints
GLC,Interior Top Coat,Interior,Top Coat,Matte,Walls,Medium,8.5,10,2,Liter,0.1,Paintable_Area/Coverage,1,Walls,False,146,Paints,Interior,Not Applicable,Medium: 56 - 147,100,300,66.0,9636.0,Paints
Pachin,Interior Top Coat,Interior,Top Coat,Matte,Walls,High,8.5,10,2,Liter,0.1,Paintable_Area/Coverage,1,Walls,False,204,Paints,Interior,Not Applicable,High: > 147,100,300,66.0,13464.0,Paints
Pachin,Interior Top Coat,Interior,Top Coat,Matte,Walls,High,8.5,10,2,Liter,0.1,Paintable_Area/Coverage,1,Walls,False,213,Paints,Interior,Not Applicable,High: > 147,100,300,66.0,14058.0,Paints
Jotun,Interior Top Coat,Interior,Top Coat,Matte,Walls,High,8.5,10,2,Liter,0.1,Paintable_Area/Coverage,1,Walls,False,217,Paints,Interior,Not Applicable,High: > 147,100,300,66.0,14322.0,Paints
Jotun,Interior Top Coat,Interior,Top Coat,Matte,Walls,High,8.5,10,2,Liter,0.1,Paintable_Area/Coverage,1,Walls,False,190,Paints,Interior,Not Applicable,High: > 147,100,300,66.0,12540.0,Paints
Sipes,Interior Top Coat,Interior,Top Coat,Matte,Walls,Medium,8.5,10,2,Liter,0.1,Paintable_Area/Coverage,1,Walls,False,119,Paints,Interior,Not Applicable,Medium: 56 - 147,100,300,66.0,7854.0,Paints
Pachin,Interior Top Coat,Interior,Top Coat,Matte,Walls,High,8.5,10,2,Liter,0.1,Paintable_Area/Coverage,1,Walls,False,163,Paints,Interior,Not Applicable,High: > 147,100,300,66.0,10758.0,Paints
Pachin,Interior Top Coat,Interior,Top Coat,Matte,Walls,High,8.5,10,2,Liter,0.1,Paintable_Area/Coverage,1,Walls,False,171,Paints,Interior,Not Applicable,High: > 147,100,300,66.0,11286.0,Paints
GLC,Interior Primer,Interior,Primer,Matte,Walls,Low,7.2,11,1,Liter,0.08,Paintable_Area/Coverage,1,Walls,False,52,Paints,Interior,Not Applicable,Low: <= 56,100,300,29.454545454545453,1531.6363636363635,Paints
Jotun,Interior Top Coat,Interior,Top Coat,Matte,Walls,Medium,8.5,10,2,Liter,0.1,Paintable_Area/Coverage,1,Walls,False,143,Paints,Interior,Not Applicable,Medium: 56 - 147,100,300,66.0,9438.0,Paints
SCIB,Interior Top Coat,Interior,Top Coat,Matte,Walls,High,8.5,10,2,Liter,0.1,Paintable_Area/Coverage,1,Walls,False,218,Paints,Interior,Not Applicable,High: > 147,100,300,66.0,14388.0,Paints
Pachin,Interior Top Coat,Interior,Top Coat,Matte,Walls,High,8.5,10,2,Liter,0.1,Paintable_Area/Coverage,1,Walls,False,216,Paints,Interior,Not Applicable,High: > 147,100,300,66.0,14256.0,Paints
Pachin,Interior Primer,Interior,Primer,Matte,Walls,Low,7.2,11,1,Liter,0.08,Paintable_Area/Coverage,1,Walls,False,55,Paints,Interior,Not Applicable,Low: <= 56,100,300,29.454545454545453,1620.0,Paints
Sipes,Interior Top Coat,Interior,Top Coat,Matte,Walls,High,8.5,10,2,Liter,0.1,Paintable_Area/Coverage,1,Walls,False,159,Paints,Interior,Not Applicable,High: > 147,100,300,66.0,10494.0,Paints
GLC,Interior Top Coat,Interior,Top Coat,Matte,Walls,High,8.5,10,2,Liter,0.1,Paintable_Area/Coverage,1,Walls,False,163,Paints,Interior,Not Applicable,High: > 147,100,300,66.0,10758.0,Paints
Pachin,Interior Primer,Interior,Primer,Matte,Walls,Low,7.2,11,1,Liter,0.08,Paintable_Area/Coverage,1,Walls,False,52,Paints,Interior,Not Applicable,Low: <= 56,100,300,29.454545454545453,1531.6363636363635,Paints
GLC,Interior Top Coat,Interior,Top Coat,Matte,Walls,Medium,8.5,10,2,Liter,0.1,Paintable_Area/Coverage,1,Walls,False,112,Paints,Interior,Not Applicable,Medium: 56 - 147,100,300,66.0,7392.0,Paints
SCIB,Interior Top Coat,Interior,Top Coat,Matte,Walls,High,8.5,10,2,Liter,0.1,Paintable_Area/Coverage,1,Walls,False,174,Paints,Interior,Not Applicable,High: > 147,100,300,66.0,11484.0,Paints
Pachin,Interior Top Coat,Interior,Top Coat,Matte,Walls,High,8.5,10,2,Liter,0.1,Paintable_Area/Coverage,1,Walls,False,148,Paints,Interior,Not Applicable,High: > 147,100,300,66.0,9768.0,Paints
Sipes,Interior Primer,Interior,Primer,Matte,Walls,Low,7.2,11,1,Liter,0.08,Paintable_Area/Coverage,1,Walls,False,39,Paints,Interior,Not Applicable,Low: <= 56,100,300,29.454545454545453,1148.7272727272727,Paints
Sipes,Interior Top Coat,Interior,Top Coat,Matte,Walls,Medium,8.5,10,2,Liter,0.1,Paintable_Area/Coverage,1,Walls,False,105,Paints,Interior,Not Applicable,Medium: 56 - 147,100,300,66.0,6930.0,Paints
Sipes,Interior Top Coat,Interior,Top Coat,Matte,Walls,High,8.5,10,2,Liter,0.1,Paintable_Area/Coverage,1,Walls,False,165,Paints,Interior,Not Applicable,High: > 147,100,300,66.0,10890.0,Paints
