Brand,Product_Name,Category,Specification,Application,Power_W,Quality_Level,Quality_Score,Unit,Quantity_Rule,Rule_Value,Required_For,Optional,Price_EGP,Subcategory,Grade,Quality_Price_Band,Estimated_Quantity,Estimated_Total_Cost,Finishing_Category
Philips,Modern Chandelier,Electrical,6 Lights LED,Reception,36,High,8.5,Piece,Per_Reception,1,Reception,True,3398,Modern Chandelier,Not Applicable,High: > 2252,1,3398,Electrical
Venus Electric,Modern Chandelier,Electrical,6 Lights LED,Reception,36,High,8.5,Piece,Per_Reception,1,Reception,True,2691,Modern Chandelier,Not Applicable,High: > 2252,1,2691,Electrical
Opple,Modern Chandelier,Electrical,6 Lights LED,Reception,36,Medium,8.5,Piece,Per_Reception,1,Reception,True,2178,Modern Chandelier,Not Applicable,Medium: 174 - 2252,1,2178,Electrical
Venus Electric,Modern Chandelier,Electrical,6 Lights LED,Reception,36,High,8.5,Piece,Per_Reception,1,Reception,True,2723,Modern Chandelier,Not Applicable,High: > 2252,1,2723,Electrical
Opple,Modern Chandelier,Electrical,6 Lights LED,Reception,36,Medium,8.5,Piece,Per_Reception,1,Reception,True,1679,Modern Chandelier,Not Applicable,Medium: 174 - 2252,1,1679,Electrical
Philips,Modern Chandelier,Electrical,6 Lights LED,Reception,36,High,8.5,Piece,Per_Reception,1,Reception,True,2377,Modern Chandelier,Not Applicable,High: > 2252,1,2377,Electrical
Venus Electric,LED Spotlight,Electrical,7W Recessed,Bedrooms,7,Low,7.5,Piece,Per_Room,4,Bedroom,False,113,LED Spotlight,Not Applicable,Low: <= 174,4,452,Electrical
Opple,LED Spotlight,Electrical,7W Recessed,Bedrooms,7,Low,7.5,Piece,Per_Room,4,Bedroom,False,78,LED Spotlight,Not Applicable,Low: <= 174,4,312,Electrical
Osram,Modern Chandelier,Electrical,6 Lights LED,Reception,36,Medium,8.5,Piece,Per_Reception,1,Reception,True,1876,Modern Chandelier,Not Applicable,Medium: 174 - 2252,1,1876,Electrical
El Sewedy Electric,LED Spotlight,Electrical,7W Recessed,Bedrooms,7,Low,7.5,Piece,Per_Room,4,Bedroom,False,92,LED Spotlight,Not Applicable,Low: <= 174,4,368,Electrical
Philips,LED Downlight,Electrical,18W Recessed,Reception,18,Low,8.8,Piece,Per_Reception,8,Reception,False,167,LED Downlight,Not Applicable,Low: <= 174,8,1336,Electrical
Opple,Modern Chandelier,Electrical,6 Lights LED,Reception,36,Medium,8.5,Piece,Per_Reception,1,Reception,True,1287,Modern Chandelier,Not Applicable,Medium: 174 - 2252,1,1287,Electrical
Opple,Modern Chandelier,Electrical,6 Lights LED,Reception,36,High,8.5,Piece,Per_Reception,1,Reception,True,2447,Modern Chandelier,Not Applicable,High: > 2252,1,2447,Electrical
Philips,Modern Chandelier,Electrical,6 Lights LED,Reception,36,Medium,8.5,Piece,Per_Reception,1,Reception,True,1819,Modern Chandelier,Not Applicable,Medium: 174 - 2252,1,1819,Electrical
Osram,Modern Chandelier,Electrical,6 Lights LED,Reception,36,Medium,8.5,Piece,Per_Reception,1,Reception,True,1303,Modern Chandelier,Not Applicable,Medium: 174 - 2252,1,1303,Electrical
Venus Electric,Modern Chandelier,Electrical,6 Lights LED,Reception,36,Medium,8.5,Piece,Per_Reception,1,Reception,True,1339,Modern Chandelier,Not Applicable,Medium: 174 - 2252,1,1339,Electrical
Opple,LED Downlight,Electrical,18W Recessed,Reception,18,Low,8.8,Piece,Per_Reception,8,Reception,False,78,LED Downlight,Not Applicable,Low: <= 174,8,624,Electrical
Osram,Modern Chandelier,Electrical,6 Lights LED,Reception,36,Medium,8.5,Piece,Per_Reception,1,Reception,True,2133,Modern Chandelier,Not Applicable,Medium: 174 - 2252,1,2133,Electrical
Osram,Modern Chandelier,Electrical,6 Lights LED,Reception,36,Medium,8.5,Piece,Per_Reception,1,Reception,True,1586,Modern Chandelier,Not Applicable,Medium: 174 - 2252,1,1586,Electrical
Osram,Modern Chandelier,Electrical,6 Lights LED,Reception,36,Medium,8.5,Piece,Per_Reception,1,Reception,True,1960,Modern Chandelier,Not Applicable,Medium: 174 - 2252,1,1960,Electrical
Venus Electric,LED Spotlight,Electrical,7W Recessed,Bedrooms,7,Low,7.5,Piece,Per_Room,4,Bedroom,False,79,LED Spotlight,Not Applicable,Low: <= 174,4,316,Electrical
Opple,LED Bulb,Electrical,9W,Bedrooms,9,Low,7.2,Piece,Per_Room,4,Bedroom,False,150,LED Bulb,Not Applicable,Low: <= 174,4,600,Electrical
El Sewedy Electric,Modern Chandelier,Electrical,6 Lights LED,Reception,36,High,8.5,Piece,Per_Reception,1,Reception,True,3118,Modern Chandelier,Not Applicable,High: > 2252,1,3118,Electrical
Osram,Modern Chandelier,Electrical,6 Lights LED,Reception,36,Medium,8.5,Piece,Per_Reception,1,Reception,True,2109,Modern Chandelier,Not Applicable,Medium: 174 - 2252,1,2109,Electrical
Osram,LED Spotlight,Electrical,7W Recessed,Bedrooms,7,Low,7.5,Piece,Per_Room,4,Bedroom,False,93,LED Spotlight,Not Applicable,Low: <= 174,4,372,Electrical
Philips,Modern Chandelier,Electrical,6 Lights LED,Reception,36,Medium,8.5,Piece,Per_Reception,1,Reception,True,1776,Modern Chandelier,Not Applicable,Medium: 174 - 2252,1,1776,Electrical
Osram,Modern Chandelier,Electrical,6 Lights LED,Reception,36,High,8.5,Piece,Per_Reception,1,Reception,True,3025,Modern Chandelier,Not Applicable,High: > 2252,1,3025,Electrical
El Sewedy Electric,LED Downlight,Electrical,18W Recessed,Reception,18,Low,8.8,Piece,Per_Reception,8,Reception,False,152,LED Downlight,Not Applicable,Low: <= 174,8,1216,Electrical
Opple,Modern Chandelier,Electrical,6 Lights LED,Reception,36,Medium,8.5,Piece,Per_Reception,1,Reception,True,1785,Modern Chandelier,Not Applicable,Medium: 174 - 2252,1,1785,Electrical
El Sewedy Electric,LED Downlight,Electrical,18W Recessed,Reception,18,Low,8.8,Piece,Per_Reception,8,Reception,False,71,LED Downlight,Not Applicable,Low: <= 174,8,568,Electrical
Osram,Modern Chandelier,Electrical,6 Lights LED,Reception,36,Medium,8.5,Piece,Per_Reception,1,Reception,True,1379,Modern Chandelier,Not Applicable,Medium: 174 - 2252,1,1379,Electrical
Venus Electric,Modern Chandelier,Electrical,6 Lights LED,Reception,36,High,8.5,Piece,Per_Reception,1,Reception,True,2589,Modern Chandelier,Not Applicable,High: > 2252,1,2589,Electrical
Philips,Modern Chandelier,Electrical,6 Lights LED,Reception,36,High,8.5,Piece,Per_Reception,1,Reception,True,3491,Modern Chandelier,Not Applicable,High: > 2252,1,3491,Electrical
Osram,Modern Chandelier,Electrical,6 Lights LED,Reception,36,High,8.5,Piece,Per_Reception,1,Reception,True,3114,Modern Chandelier,Not Applicable,High: > 2252,1,3114,Electrical
Philips,LED Downlight,Electrical,18W Recessed,Reception,18,Low,8.8,Piece,Per_Reception,8,Reception,False,153,LED Downlight,Not Applicable,Low: <= 174,8,1224,Electrical
Opple,Modern Chandelier,Electrical,6 Lights LED,Reception,36,Medium,8.5,Piece,Per_Reception,1,Reception,True,1444,Modern Chandelier,Not Applicable,Medium: 174 - 2252,1,1444,Electrical
Osram,Modern Chandelier,Electrical,6 Lights LED,Reception,36,High,8.5,Piece,Per_Reception,1,Reception,True,2261,Modern Chandelier,Not Applicable,High: > 2252,1,2261,Electrical
Philips,Modern Chandelier,Electrical,6 Lights LED,Reception,36,High,8.5,Piece,Per_Reception,1,Reception,True,2668,Modern Chandelier,Not Applicable,High: > 2252,1,2668,Electrical
Osram,LED Spotlight,Electrical,7W Recessed,Bedrooms,7,Low,7.5,Piece,Per_Room,4,Bedroom,False,88,LED Spotlight,Not Applicable,Low: <= 174,4,352,Electrical
Venus Electric,Modern Chandelier,Electrical,6 Lights LED,Reception,36,Medium,8.5,Piece,Per_Reception,1,Reception,True,1336,Modern Chandelier,Not Applicable,Medium: 174 - 2252,1,1336,Electrical
Osram,LED Downlight,Electrical,18W Recessed,Reception,18,Low,8.8,Piece,Per_Reception,8,Reception,False,157,LED Downlight,Not Applicable,Low: <= 174,8,1256,Electrical
Osram,Modern Chandelier,Electrical,6 Lights LED,Reception,36,Medium,8.5,Piece,Per_Reception,1,Reception,True,1381,Modern Chandelier,Not Applicable,Medium: 174 - 2252,1,1381,Electrical
El Sewedy Electric,Modern Chandelier,Electrical,6 Lights LED,Reception,36,High,8.5,Piece,Per_Reception,1,Reception,True,2794,Modern Chandelier,Not Applicable,High: > 2252,1,2794,Electrical
Venus Electric,LED Downlight,Electrical,18W Recessed,Reception,18,Low,8.8,Piece,Per_Reception,8,Reception,False,69,LED Downlight,Not Applicable,Low: <= 174,8,552,Electrical
Opple,Modern Chandelier,Electrical,6 Lights LED,Reception,36,High,8.5,Piece,Per_Reception,1,Reception,True,2327,Modern Chandelier,Not Applicable,High: > 2252,1,2327,Electrical
El Sewedy Electric,Modern Chandelier,Electrical,6 Lights LED,Reception,36,High,8.5,Piece,Per_Reception,1,Reception,True,2398,Modern Chandelier,Not Applicable,High: > 2252,1,2398,Electrical
Osram,Modern Chandelier,Electrical,6 Lights LED,Reception,36,Medium,8.5,Piece,Per_Reception,1,Reception,True,1997,Modern Chandelier,Not Applicable,Medium: 174 - 2252,1,1997,Electrical
Philips,Modern Chandelier,Electrical,6 Lights LED,Reception,36,High,8.5,Piece,Per_Reception,1,Reception,True,3457,Modern Chandelier,Not Applicable,High: > 2252,1,3457,Electrical
Osram,LED Downlight,Electrical,18W Recessed,Reception,18,Low,8.8,Piece,Per_Reception,8,Reception,False,56,LED Downlight,Not Applicable,Low: <= 174,8,448,Electrical
Philips,Modern Chandelier,Electrical,6 Lights LED,Reception,36,High,8.5,Piece,Per_Reception,1,Reception,True,2583,Modern Chandelier,Not Applicable,High: > 2252,1,2583,Electrical
Opple,LED Spotlight,Electrical,7W Recessed,Bedrooms,7,Low,7.5,Piece,Per_Room,4,Bedroom,False,80,LED Spotlight,Not Applicable,Low: <= 174,4,320,Electrical
El Sewedy Electric,Modern Chandelier,Electrical,6 Lights LED,Reception,36,Medium,8.5,Piece,Per_Reception,1,Reception,True,1248,Modern Chandelier,Not Applicable,Medium: 174 - 2252,1,1248,Electrical
Philips,Modern Chandelier,Electrical,6 Lights LED,Reception,36,Medium,8.5,Piece,Per_Reception,1,Reception,True,1854,Modern Chandelier,Not Applicable,Medium: 174 - 2252,1,1854,Electrical
Osram,LED Bulb,Electrical,9W,Bedrooms,9,Low,7.2,Piece,Per_Room,4,Bedroom,False,119,LED Bulb,Not Applicable,Low: <= 174,4,476,Electrical
Philips,LED Spotlight,Electrical,7W Recessed,Bedrooms,7,Low,7.5,Piece,Per_Room,4,Bedroom,False,136,LED Spotlight,Not Applicable,Low: <= 174,4,544,Electrical
Opple,Modern Chandelier,Electrical,6 Lights LED,Reception,36,High,8.5,Piece,Per_Reception,1,Reception,True,3259,Modern Chandelier,Not Applicable,High: > 2252,1,3259,Electrical
Osram,Modern Chandelier,Electrical,6 Lights LED,Reception,36,Medium,8.5,Piece,Per_Reception,1,Reception,True,1486,Modern Chandelier,Not Applicable,Medium: 174 - 2252,1,1486,Electrical
Osram,Modern Chandelier,Electrical,6 Lights LED,Reception,36,Medium,8.5,Piece,Per_Reception,1,Reception,True,1778,Modern Chandelier,Not Applicable,Medium: 174 - 2252,1,1778,Electrical
Philips,Modern Chandelier,Electrical,6 Lights LED,Reception,36,High,8.5,Piece,Per_Reception,1,Reception,True,2512,Modern Chandelier,Not Applicable,High: > 2252,1,2512,Electrical
El Sewedy Electric,Modern Chandelier,Electrical,6 Lights LED,Reception,36,Medium,8.5,Piece,Per_Reception,1,Reception,True,1943,Modern Chandelier,Not Applicable,Medium: 174 - 2252,1,1943,Electrical
Philips,LED Downlight,Electrical,18W Recessed,Reception,18,Low,8.8,Piece,Per_Reception,8,Reception,False,142,LED Downlight,Not Applicable,Low: <= 174,8,1136,Electrical
Opple,Modern Chandelier,Electrical,6 Lights LED,Reception,36,High,8.5,Piece,Per_Reception,1,Reception,True,3214,Modern Chandelier,Not Applicable,High: > 2252,1,3214,Electrical
Philips,LED Spotlight,Electrical,7W Recessed,Bedrooms,7,Low,7.5,Piece,Per_Room,4,Bedroom,False,156,LED Spotlight,Not Applicable,Low: <= 174,4,624,Electrical
Venus Electric,Modern Chandelier,Electrical,6 Lights LED,Reception,36,High,8.5,Piece,Per_Reception,1,Reception,True,3292,Modern Chandelier,Not Applicable,High: > 2252,1,3292,Electrical
Opple,Modern Chandelier,Electrical,6 Lights LED,Reception,36,Medium,8.5,Piece,Per_Reception,1,Reception,True,1284,Modern Chandelier,Not Applicable,Medium: 174 - 2252,1,1284,Electrical
Osram,LED Downlight,Electrical,18W Recessed,Reception,18,Low,8.8,Piece,Per_Reception,8,Reception,False,117,LED Downlight,Not Applicable,Low: <= 174,8,936,Electrical
Osram,Modern Chandelier,Electrical,6 Lights LED,Reception,36,High,8.5,Piece,Per_Reception,1,Reception,True,2341,Modern Chandelier,Not Applicable,High: > 2252,1,2341,Electrical
Opple,LED Bulb,Electrical,9W,Bedrooms,9,Low,7.2,Piece,Per_Room,4,Bedroom,False,74,LED Bulb,Not Applicable,Low: <= 174,4,296,Electrical
El Sewedy Electric,Modern Chandelier,Electrical,6 Lights LED,Reception,36,Medium,8.5,Piece,Per_Reception,1,Reception,True,1860,Modern Chandelier,Not Applicable,Medium: 174 - 2252,1,1860,Electrical
Opple,Modern Chandelier,Electrical,6 Lights LED,Reception,36,Medium,8.5,Piece,Per_Reception,1,Reception,True,2003,Modern Chandelier,Not Applicable,Medium: 174 - 2252,1,2003,Electrical
El Sewedy Electric,LED Downlight,Electrical,18W Recessed,Reception,18,Low,8.8,Piece,Per_Reception,8,Reception,False,118,LED Downlight,Not Applicable,Low: <= 174,8,944,Electrical
El Sewedy Electric,LED Spotlight,Electrical,7W Recessed,Bedrooms,7,Low,7.5,Piece,Per_Room,4,Bedroom,False,74,LED Spotlight,Not Applicable,Low: <= 174,4,296,Electrical
El Sewedy Electric,Modern Chandelier,Electrical,6 Lights LED,Reception,36,High,8.5,Piece,Per_Reception,1,Reception,True,2901,Modern Chandelier,Not Applicable,High: > 2252,1,2901,Electrical
Philips,Modern Chandelier,Electrical,6 Lights LED,Reception,36,Medium,8.5,Piece,Per_Reception,1,Reception,True,2009,Modern Chandelier,Not Applicable,Medium: 174 - 2252,1,2009,Electrical
Venus Electric,Modern Chandelier,Electrical,6 Lights LED,Reception,36,High,8.5,Piece,Per_Reception,1,Reception,True,3250,Modern Chandelier,Not Applicable,High: > 2252,1,3250,Electrical
Opple,LED Spotlight,Electrical,7W Recessed,Bedrooms,7,Low,7.5,Piece,Per_Room,4,Bedroom,False,138,LED Spotlight,Not Applicable,Low: <= 174,4,552,Electrical
Philips,LED Bulb,Electrical,9W,Bedrooms,9,Low,7.2,Piece,Per_Room,4,Bedroom,False,62,LED Bulb,Not Applicable,Low: <= 174,4,248,Electrical
El Sewedy Electric,Modern Chandelier,Electrical,6 Lights LED,Reception,36,High,8.5,Piece,Per_Reception,1,Reception,True,2368,Modern Chandelier,Not Applicable,High: > 2252,1,2368,Electrical
Osram,Modern Chandelier,Electrical,6 Lights LED,Reception,36,High,8.5,Piece,Per_Reception,1,Reception,True,2303,Modern Chandelier,Not Applicable,High: > 2252,1,2303,Electrical
Venus Electric,Modern Chandelier,Electrical,6 Lights LED,Reception,36,High,8.5,Piece,Per_Reception,1,Reception,True,2610,Modern Chandelier,Not Applicable,High: > 2252,1,2610,Electrical
El Sewedy Electric,LED Downlight,Electrical,18W Recessed,Reception,18,Low,8.8,Piece,Per_Reception,8,Reception,False,148,LED Downlight,Not Applicable,Low: <= 174,8,1184,Electrical
Venus Electric,LED Bulb,Electrical,9W,Bedrooms,9,Low,7.2,Piece,Per_Room,4,Bedroom,False,150,LED Bulb,Not Applicable,Low: <= 174,4,600,Electrical
El Sewedy Electric,LED Bulb,Electrical,9W,Bedrooms,9,Low,7.2,Piece,Per_Room,4,Bedroom,False,166,LED Bulb,Not Applicable,Low: <= 174,4,664,Electrical
Osram,Modern Chandelier,Electrical,6 Lights LED,Reception,36,High,8.5,Piece,Per_Reception,1,Reception,True,2466,Modern Chandelier,Not Applicable,High: > 2252,1,2466,Electrical
Philips,Modern Chandelier,Electrical,6 Lights LED,Reception,36,High,8.5,Piece,Per_Reception,1,Reception,True,2453,Modern Chandelier,Not Applicable,High: > 2252,1,2453,Electrical
Osram,LED Bulb,Electrical,9W,Bedrooms,9,Low,7.2,Piece,Per_Room,4,Bedroom,False,108,LED Bulb,Not Applicable,Low: <= 174,4,432,Electrical
Philips,Modern Chandelier,Electrical,6 Lights LED,Reception,36,High,8.5,Piece,Per_Reception,1,Reception,True,2940,Modern Chandelier,Not Applicable,High: > 2252,1,2940,Electrical
El Sewedy Electric,LED Downlight,Electrical,18W Recessed,Reception,18,Low,8.8,Piece,Per_Reception,8,Reception,False,141,LED Downlight,Not Applicable,Low: <= 174,8,1128,Electrical
Osram,LED Downlight,Electrical,18W Recessed,Reception,18,Low,8.8,Piece,Per_Reception,8,Reception,False,96,LED Downlight,Not Applicable,Low: <= 174,8,768,Electrical
Venus Electric,Modern Chandelier,Electrical,6 Lights LED,Reception,36,Medium,8.5,Piece,Per_Reception,1,Reception,True,1866,Modern Chandelier,Not Applicable,Medium: 174 - 2252,1,1866,Electrical
Venus Electric,Modern Chandelier,Electrical,6 Lights LED,Reception,36,Medium,8.5,Piece,Per_Reception,1,Reception,True,1316,Modern Chandelier,Not Applicable,Medium: 174 - 2252,1,1316,Electrical
Osram,Modern Chandelier,Electrical,6 Lights LED,Reception,36,High,8.5,Piece,Per_Reception,1,Reception,True,2995,Modern Chandelier,Not Applicable,High: > 2252,1,2995,Electrical
El Sewedy Electric,LED Downlight,Electrical,18W Recessed,Reception,18,Low,8.8,Piece,Per_Reception,8,Reception,False,163,LED Downlight,Not Applicable,Low: <= 174,8,1304,Electrical
El Sewedy Electric,LED Downlight,Electrical,18W Recessed,Reception,18,Low,8.8,Piece,Per_Reception,8,Reception,False,68,LED Downlight,Not Applicable,Low: <= 174,8,544,Electrical
Opple,Modern Chandelier,Electrical,6 Lights LED,Reception,36,Medium,8.5,Piece,Per_Reception,1,Reception,True,1775,Modern Chandelier,Not Applicable,Medium: 174 - 2252,1,1775,Electrical
Opple,Modern Chandelier,Electrical,6 Lights LED,Reception,36,Medium,8.5,Piece,Per_Reception,1,Reception,True,1756,Modern Chandelier,Not Applicable,Medium: 174 - 2252,1,1756,Electrical
Osram,Modern Chandelier,Electrical,6 Lights LED,Reception,36,Medium,8.5,Piece,Per_Reception,1,Reception,True,1274,Modern Chandelier,Not Applicable,Medium: 174 - 2252,1,1274,Electrical
Osram,Modern Chandelier,Electrical,6 Lights LED,Reception,36,High,8.5,Piece,Per_Reception,1,Reception,True,3319,Modern Chandelier,Not Applicable,High: > 2252,1,3319,Electrical
El Sewedy Electric,Modern Chandelier,Electrical,6 Lights LED,Reception,36,High,8.5,Piece,Per_Reception,1,Reception,True,2344,Modern Chandelier,Not Applicable,High: > 2252,1,2344,Electrical
Philips,LED Downlight,Electrical,18W Recessed,Reception,18,Low,8.8,Piece,Per_Reception,8,Reception,False,72,LED Downlight,Not Applicable,Low: <= 174,8,576,Electrical
Philips,Modern Chandelier,Electrical,6 Lights LED,Reception,36,Medium,8.5,Piece,Per_Reception,1,Reception,True,1284,Modern Chandelier,Not Applicable,Medium: 174 - 2252,1,1284,Electrical
Venus Electric,Modern Chandelier,Electrical,6 Lights LED,Reception,36,Medium,8.5,Piece,Per_Reception,1,Reception,True,1274,Modern Chandelier,Not Applicable,Medium: 174 - 2252,1,1274,Electrical
El Sewedy Electric,Modern Chandelier,Electrical,6 Lights LED,Reception,36,Medium,8.5,Piece,Per_Reception,1,Reception,True,2099,Modern Chandelier,Not Applicable,Medium: 174 - 2252,1,2099,Electrical
Osram,Modern Chandelier,Electrical,6 Lights LED,Reception,36,High,8.5,Piece,Per_Reception,1,Reception,True,2610,Modern Chandelier,Not Applicable,High: > 2252,1,2610,Electrical
El Sewedy Electric,LED Spotlight,Electrical,7W Recessed,Bedrooms,7,Low,7.5,Piece,Per_Room,4,Bedroom,False,172,LED Spotlight,Not Applicable,Low: <= 174,4,688,Electrical
Philips,LED Downlight,Electrical,18W Recessed,Reception,18,Medium,8.8,Piece,Per_Reception,8,Reception,False,179,LED Downlight,Not Applicable,Medium: 174 - 2252,8,1432,Electrical
Opple,LED Downlight,Electrical,18W Recessed,Reception,18,Low,8.8,Piece,Per_Reception,8,Reception,False,79,LED Downlight,Not Applicable,Low: <= 174,8,632,Electrical
Osram,Modern Chandelier,Electrical,6 Lights LED,Reception,36,High,8.5,Piece,Per_Reception,1,Reception,True,3137,Modern Chandelier,Not Applicable,High: > 2252,1,3137,Electrical
Opple,LED Downlight,Electrical,18W Recessed,Reception,18,Low,8.8,Piece,Per_Reception,8,Reception,False,55,LED Downlight,Not Applicable,Low: <= 174,8,440,Electrical
Opple,Modern Chandelier,Electrical,6 Lights LED,Reception,36,Medium,8.5,Piece,Per_Reception,1,Reception,True,2139,Modern Chandelier,Not Applicable,Medium: 174 - 2252,1,2139,Electrical
Osram,Modern Chandelier,Electrical,6 Lights LED,Reception,36,High,8.5,Piece,Per_Reception,1,Reception,True,3402,Modern Chandelier,Not Applicable,High: > 2252,1,3402,Electrical
Venus Electric,LED Downlight,Electrical,18W Recessed,Reception,18,Low,8.8,Piece,Per_Reception,8,Reception,False,151,LED Downlight,Not Applicable,Low: <= 174,8,1208,Electrical
Venus Electric,Modern Chandelier,Electrical,6 Lights LED,Reception,36,Medium,8.5,Piece,Per_Reception,1,Reception,True,1611,Modern Chandelier,Not Applicable,Medium: 174 - 2252,1,1611,Electrical
Venus Electric,LED Spotlight,Electrical,7W Recessed,Bedrooms,7,Low,7.5,Piece,Per_Room,4,Bedroom,False,123,LED Spotlight,Not Applicable,Low: <= 174,4,492,Electrical
Venus Electric,LED Downlight,Electrical,18W Recessed,Reception,18,Medium,8.8,Piece,Per_Reception,8,Reception,False,175,LED Downlight,Not Applicable,Medium: 174 - 2252,8,1400,Electrical
Opple,Modern Chandelier,Electrical,6 Lights LED,Reception,36,Medium,8.5,Piece,Per_Reception,1,Reception,True,1855,Modern Chandelier,Not Applicable,Medium: 174 - 2252,1,1855,Electrical
Osram,Modern Chandelier,Electrical,6 Lights LED,Reception,36,High,8.5,Piece,Per_Reception,1,Reception,True,3461,Modern Chandelier,Not Applicable,High: > 2252,1,3461,Electrical
Philips,Modern Chandelier,Electrical,6 Lights LED,Reception,36,High,8.5,Piece,Per_Reception,1,Reception,True,2528,Modern Chandelier,Not Applicable,High: > 2252,1,2528,Electrical
Osram,LED Spotlight,Electrical,7W Recessed,Bedrooms,7,Low,7.5,Piece,Per_Room,4,Bedroom,False,97,LED Spotlight,Not Applicable,Low: <= 174,4,388,Electrical
Osram,Modern Chandelier,Electrical,6 Lights LED,Reception,36,High,8.5,Piece,Per_Reception,1,Reception,True,3241,Modern Chandelier,Not Applicable,High: > 2252,1,3241,Electrical
Philips,LED Downlight,Electrical,18W Recessed,Reception,18,Low,8.8,Piece,Per_Reception,8,Reception,False,135,LED Downlight,Not Applicable,Low: <= 174,8,1080,Electrical
Venus Electric,Modern Chandelier,Electrical,6 Lights LED,Reception,36,Medium,8.5,Piece,Per_Reception,1,Reception,True,1980,Modern Chandelier,Not Applicable,Medium: 174 - 2252,1,1980,Electrical
Opple,Modern Chandelier,Electrical,6 Lights LED,Reception,36,High,8.5,Piece,Per_Reception,1,Reception,True,2671,Modern Chandelier,Not Applicable,High: > 2252,1,2671,Electrical
Venus Electric,Modern Chandelier,Electrical,6 Lights LED,Reception,36,High,8.5,Piece,Per_Reception,1,Reception,True,2370,Modern Chandelier,Not Applicable,High: > 2252,1,2370,Electrical
Osram,LED Downlight,Electrical,18W Recessed,Reception,18,Low,8.8,Piece,Per_Reception,8,Reception,False,67,LED Downlight,Not Applicable,Low: <= 174,8,536,Electrical
Opple,Modern Chandelier,Electrical,6 Lights LED,Reception,36,Medium,8.5,Piece,Per_Reception,1,Reception,True,1927,Modern Chandelier,Not Applicable,Medium: 174 - 2252,1,1927,Electrical
Philips,LED Spotlight,Electrical,7W Recessed,Bedrooms,7,Low,7.5,Piece,Per_Room,4,Bedroom,False,73,LED Spotlight,Not Applicable,Low: <= 174,4,292,Electrical
El Sewedy Electric,Modern Chandelier,Electrical,6 Lights LED,Reception,36,High,8.5,Piece,Per_Reception,1,Reception,True,2934,Modern Chandelier,Not Applicable,High: > 2252,1,2934,Electrical
Opple,Modern Chandelier,Electrical,6 Lights LED,Reception,36,Medium,8.5,Piece,Per_Reception,1,Reception,True,1903,Modern Chandelier,Not Applicable,Medium: 174 - 2252,1,1903,Electrical
Osram,LED Downlight,Electrical,18W Recessed,Reception,18,Low,8.8,Piece,Per_Reception,8,Reception,False,126,LED Downlight,Not Applicable,Low: <= 174,8,1008,Electrical
Venus Electric,Modern Chandelier,Electrical,6 Lights LED,Reception,36,High,8.5,Piece,Per_Reception,1,Reception,True,3468,Modern Chandelier,Not Applicable,High: > 2252,1,3468,Electrical
Opple,Modern Chandelier,Electrical,6 Lights LED,Reception,36,High,8.5,Piece,Per_Reception,1,Reception,True,2385,Modern Chandelier,Not Applicable,High: > 2252,1,2385,Electrical
El Sewedy Electric,Modern Chandelier,Electrical,6 Lights LED,Reception,36,Medium,8.5,Piece,Per_Reception,1,Reception,True,2043,Modern Chandelier,Not Applicable,Medium: 174 - 2252,1,2043,Electrical
Opple,Modern Chandelier,Electrical,6 Lights LED,Reception,36,Medium,8.5,Piece,Per_Reception,1,Reception,True,1707,Modern Chandelier,Not Applicable,Medium: 174 - 2252,1,1707,Electrical
Venus Electric,Modern Chandelier,Electrical,6 Lights LED,Reception,36,High,8.5,Piece,Per_Reception,1,Reception,True,2842,Modern Chandelier,Not Applicable,High: > 2252,1,2842,Electrical
El Sewedy Electric,Modern Chandelier,Electrical,6 Lights LED,Reception,36,Medium,8.5,Piece,Per_Reception,1,Reception,True,1394,Modern Chandelier,Not Applicable,Medium: 174 - 2252,1,1394,Electrical
Philips,Modern Chandelier,Electrical,6 Lights LED,Reception,36,Medium,8.5,Piece,Per_Reception,1,Reception,True,1981,Modern Chandelier,Not Applicable,Medium: 174 - 2252,1,1981,Electrical
Osram,Modern Chandelier,Electrical,6 Lights LED,Reception,36,Medium,8.5,Piece,Per_Reception,1,Reception,True,1559,Modern Chandelier,Not Applicable,Medium: 174 - 2252,1,1559,Electrical
Philips,LED Spotlight,Electrical,7W Recessed,Bedrooms,7,Low,7.5,Piece,Per_Room,4,Bedroom,False,60,LED Spotlight,Not Applicable,Low: <= 174,4,240,Electrical
Philips,LED Spotlight,Electrical,7W Recessed,Bedrooms,7,Low,7.5,Piece,Per_Room,4,Bedroom,False,81,LED Spotlight,Not Applicable,Low: <= 174,4,324,Electrical
Venus Electric,LED Bulb,Electrical,9W,Bedrooms,9,Low,7.2,Piece,Per_Room,4,Bedroom,False,91,LED Bulb,Not Applicable,Low: <= 174,4,364,Electrical
Opple,LED Downlight,Electrical,18W Recessed,Reception,18,Low,8.8,Piece,Per_Reception,8,Reception,False,124,LED Downlight,Not Applicable,Low: <= 174,8,992,Electrical
El Sewedy Electric,LED Bulb,Electrical,9W,Bedrooms,9,Low,7.2,Piece,Per_Room,4,Bedroom,False,80,LED Bulb,Not Applicable,Low: <= 174,4,320,Electrical
El Sewedy Electric,LED Downlight,Electrical,18W Recessed,Reception,18,Low,8.8,Piece,Per_Reception,8,Reception,False,169,LED Downlight,Not Applicable,Low: <= 174,8,1352,Electrical
