Brand,Product_Name,Category,Product_Type,Application,Specification,Quality_Level,Quality_Score,Unit,Quantity_Rule,Rule_Value,Required_For,Optional,Price_EGP,Subcategory,Grade,Quality_Price_Band
GROHE,Close Coupled Toilet,Sanitary,Floor Mounted,Bathroom,Ceramic,Medium,7.6,Piece,Per_Bathroom,1,Bathroom,False,6182,Floor Mounted,Not Applicable,Medium: 5006 - 7542
Roca,Shower Cabin,Sanitary,Sliding Cabin,Master Bathroom,90x90 cm,High,8.4,Piece,Per_Master_Bathroom,1,Master Bathroom,True,9064,Sliding Cabin,Not Applicable,High: > 7542
Roca,Shower Cabin,Sanitary,Sliding Cabin,Master Bathroom,90x90 cm,High,8.4,Piece,Per_Master_Bathroom,1,Master Bathroom,True,8388,Sliding Cabin,Not Applicable,High: > 7542
Roca,Shower Cabin,Sanitary,Sliding Cabin,Master Bathroom,90x90 cm,Medium,8.4,Piece,Per_Master_Bathroom,1,Master Bathroom,True,5027,Sliding Cabin,Not Applicable,Medium: 5006 - 7542
Ceramica Cleopatra,Close Coupled Toilet,Sanitary,Floor Mounted,Bathroom,Ceramic,Medium,7.6,Piece,Per_Bathroom,1,Bathroom,False,6845,Floor Mounted,Not Applicable,Medium: 5006 - 7542
GROHE,Rain Shower,Sanitary,Rain Shower,Master Bathroom,Chrome,High,9.0,Set,Per_Master_Bathroom,1,Master Bathroom,True,10817,Rain Shower,Not Applicable,High: > 7542
GROHE,Close Coupled Toilet,Sanitary,Floor Mounted,Bathroom,Ceramic,Medium,7.6,Piece,Per_Bathroom,1,Bathroom,False,5698,Floor Mounted,Not Applicable,Medium: 5006 - 7542
Ideal Standard,Close Coupled Toilet,Sanitary,Floor Mounted,Bathroom,Ceramic,Low,7.6,Piece,Per_Bathroom,1,Bathroom,False,4293,Floor Mounted,Not Applicable,Low: <= 5006
Roca,Shower Cabin,Sanitary,Sliding Cabin,Master Bathroom,90x90 cm,Medium,8.4,Piece,Per_Master_Bathroom,1,Master Bathroom,True,6913,Sliding Cabin,Not Applicable,Medium: 5006 - 7542
Ideal Standard,Close Coupled Toilet,Sanitary,Floor Mounted,Bathroom,Ceramic,Medium,7.6,Piece,Per_Bathroom,1,Bathroom,False,5468,Floor Mounted,Not Applicable,Medium: 5006 - 7542
Ideal Standard,Wash Basin,Sanitary,Pedestal,Bathroom,60 cm,Low,7.4,Piece,Per_Bathroom,1,Bathroom,False,2343,Pedestal,Not Applicable,Low: <= 5006
Ideal Standard,Rain Shower,Sanitary,Rain Shower,Master Bathroom,Chrome,Medium,9.0,Set,Per_Master_Bathroom,1,Master Bathroom,True,6493,Rain Shower,Not Applicable,Medium: 5006 - 7542
Lecico,Close Coupled Toilet,Sanitary,Floor Mounted,Bathroom,Ceramic,Medium,7.6,Piece,Per_Bathroom,1,Bathroom,False,6911,Floor Mounted,Not Applicable,Medium: 5006 - 7542
Ceramica Cleopatra,Close Coupled Toilet,Sanitary,Floor Mounted,Bathroom,Ceramic,Medium,7.6,Piece,Per_Bathroom,1,Bathroom,False,5171,Floor Mounted,Not Applicable,Medium: 5006 - 7542
GROHE,Wash Basin,Sanitary,Pedestal,Bathroom,60 cm,Low,7.4,Piece,Per_Bathroom,1,Bathroom,False,3611,Pedestal,Not Applicable,Low: <= 5006
Ceramica Cleopatra,Close Coupled Toilet,Sanitary,Floor Mounted,Bathroom,Ceramic,High,7.6,Piece,Per_Bathroom,1,Bathroom,False,8072,Floor Mounted,Not Applicable,High: > 7542
Roca,Rain Shower,Sanitary,Rain Shower,Master Bathroom,Chrome,Medium,9.0,Set,Per_Master_Bathroom,1,Master Bathroom,True,5282,Rain Shower,Not Applicable,Medium: 5006 - 7542
GROHE,Rain Shower,Sanitary,Rain Shower,Master Bathroom,Chrome,High,9.0,Set,Per_Master_Bathroom,1,Master Bathroom,True,8839,Rain Shower,Not Applicable,High: > 7542
GROHE,Shower Cabin,Sanitary,Sliding Cabin,Master Bathroom,90x90 cm,Medium,8.4,Piece,Per_Master_Bathroom,1,Master Bathroom,True,5583,Sliding Cabin,Not Applicable,Medium: 5006 - 7542
GROHE,Wash Basin,Sanitary,Pedestal,Bathroom,60 cm,Low,7.4,Piece,Per_Bathroom,1,Bathroom,False,2009,Pedestal,Not Applicable,Low: <= 5006
Lecico,Rain Shower,Sanitary,Rain Shower,Master Bathroom,Chrome,High,9.0,Set,Per_Master_Bathroom,1,Master Bathroom,True,7888,Rain Shower,Not Applicable,High: > 7542
Roca,Close Coupled Toilet,Sanitary,Floor Mounted,Bathroom,Ceramic,Low,7.6,Piece,Per_Bathroom,1,Bathroom,False,4999,Floor Mounted,Not Applicable,Low: <= 5006
Roca,Wash Basin,Sanitary,Pedestal,Bathroom,60 cm,Low,7.4,Piece,Per_Bathroom,1,Bathroom,False,3296,Pedestal,Not Applicable,Low: <= 5006
GROHE,Rain Shower,Sanitary,Rain Shower,Master Bathroom,Chrome,Medium,9.0,Set,Per_Master_Bathroom,1,Master Bathroom,True,6206,Rain Shower,Not Applicable,Medium: 5006 - 7542
Lecico,Shower Cabin,Sanitary,Sliding Cabin,Master Bathroom,90x90 cm,Low,8.4,Piece,Per_Master_Bathroom,1,Master Bathroom,True,4568,Sliding Cabin,Not Applicable,Low: <= 5006
GROHE,Rain Shower,Sanitary,Rain Shower,Master Bathroom,Chrome,Medium,9.0,Set,Per_Master_Bathroom,1,Master Bathroom,True,6735,Rain Shower,Not Applicable,Medium: 5006 - 7542
Ideal Standard,Shower Cabin,Sanitary,Sliding Cabin,Master Bathroom,90x90 cm,Medium,8.4,Piece,Per_Master_Bathroom,1,Master Bathroom,True,5425,Sliding Cabin,Not Applicable,Medium: 5006 - 7542
Lecico,Rain Shower,Sanitary,Rain Shower,Master Bathroom,Chrome,High,9.0,Set,Per_Master_Bathroom,1,Master Bathroom,True,9234,Rain Shower,Not Applicable,High: > 7542
GROHE,Close Coupled Toilet,Sanitary,Floor Mounted,Bathroom,Ceramic,Medium,7.6,Piece,Per_Bathroom,1,Bathroom,False,7136,Floor Mounted,Not Applicable,Medium: 5006 - 7542
Lecico,Wash Basin,Sanitary,Pedestal,Bathroom,60 cm,Low,7.4,Piece,Per_Bathroom,1,Bathroom,False,3063,Pedestal,Not Applicable,Low: <= 5006
Lecico,Close Coupled Toilet,Sanitary,Floor Mounted,Bathroom,Ceramic,Medium,7.6,Piece,Per_Bathroom,1,Bathroom,False,6123,Floor Mounted,Not Applicable,Medium: 5006 - 7542
GROHE,Wash Basin,Sanitary,Pedestal,Bathroom,60 cm,Low,7.4,Piece,Per_Bathroom,1,Bathroom,False,2358,Pedestal,Not Applicable,Low: <= 5006
GROHE,Close Coupled Toilet,Sanitary,Floor Mounted,Bathroom,Ceramic,Low,7.6,Piece,Per_Bathroom,1,Bathroom,False,4405,Floor Mounted,Not Applicable,Low: <= 5006
GROHE,Rain Shower,Sanitary,Rain Shower,Master Bathroom,Chrome,High,9.0,Set,Per_Master_Bathroom,1,Master Bathroom,True,9690,Rain Shower,Not Applicable,High: > 7542
Ceramica Cleopatra,Rain Shower,Sanitary,Rain Shower,Master Bathroom,Chrome,High,9.0,Set,Per_Master_Bathroom,1,Master Bathroom,True,9757,Rain Shower,Not Applicable,High: > 7542
Roca,Rain Shower,Sanitary,Rain Shower,Master Bathroom,Chrome,Medium,9.0,Set,Per_Master_Bathroom,1,Master Bathroom,True,6235,Rain Shower,Not Applicable,Medium: 5006 - 7542
Roca,Rain Shower,Sanitary,Rain Shower,Master Bathroom,Chrome,Low,9.0,Set,Per_Master_Bathroom,1,Master Bathroom,True,4915,Rain Shower,Not Applicable,Low: <= 5006
Lecico,Wash Basin,Sanitary,Pedestal,Bathroom,60 cm,Low,7.4,Piece,Per_Bathroom,1,Bathroom,False,4104,Pedestal,Not Applicable,Low: <= 5006
Lecico,Wash Basin,Sanitary,Pedestal,Bathroom,60 cm,Low,7.4,Piece,Per_Bathroom,1,Bathroom,False,3433,Pedestal,Not Applicable,Low: <= 5006
Roca,Wash Basin,Sanitary,Pedestal,Bathroom,60 cm,Low,7.4,Piece,Per_Bathroom,1,Bathroom,False,2188,Pedestal,Not Applicable,Low: <= 5006
Roca,Shower Cabin,Sanitary,Sliding Cabin,Master Bathroom,90x90 cm,High,8.4,Piece,Per_Master_Bathroom,1,Master Bathroom,True,9910,Sliding Cabin,Not Applicable,High: > 7542
Ceramica Cleopatra,Shower Cabin,Sanitary,Sliding Cabin,Master Bathroom,90x90 cm,High,8.4,Piece,Per_Master_Bathroom,1,Master Bathroom,True,8290,Sliding Cabin,Not Applicable,High: > 7542
GROHE,Close Coupled Toilet,Sanitary,Floor Mounted,Bathroom,Ceramic,Medium,7.6,Piece,Per_Bathroom,1,Bathroom,False,5638,Floor Mounted,Not Applicable,Medium: 5006 - 7542
GROHE,Close Coupled Toilet,Sanitary,Floor Mounted,Bathroom,Ceramic,Medium,7.6,Piece,Per_Bathroom,1,Bathroom,False,7471,Floor Mounted,Not Applicable,Medium: 5006 - 7542
Ceramica Cleopatra,Rain Shower,Sanitary,Rain Shower,Master Bathroom,Chrome,Medium,9.0,Set,Per_Master_Bathroom,1,Master Bathroom,True,6208,Rain Shower,Not Applicable,Medium: 5006 - 7542
Roca,Wash Basin,Sanitary,Pedestal,Bathroom,60 cm,Low,7.4,Piece,Per_Bathroom,1,Bathroom,False,2910,Pedestal,Not Applicable,Low: <= 5006
GROHE,Wash Basin,Sanitary,Pedestal,Bathroom,60 cm,Low,7.4,Piece,Per_Bathroom,1,Bathroom,False,3334,Pedestal,Not Applicable,Low: <= 5006
Roca,Rain Shower,Sanitary,Rain Shower,Master Bathroom,Chrome,High,9.0,Set,Per_Master_Bathroom,1,Master Bathroom,True,10692,Rain Shower,Not Applicable,High: > 7542
Ceramica Cleopatra,Close Coupled Toilet,Sanitary,Floor Mounted,Bathroom,Ceramic,Medium,7.6,Piece,Per_Bathroom,1,Bathroom,False,5433,Floor Mounted,Not Applicable,Medium: 5006 - 7542
GROHE,Rain Shower,Sanitary,Rain Shower,Master Bathroom,Chrome,High,9.0,Set,Per_Master_Bathroom,1,Master Bathroom,True,8188,Rain Shower,Not Applicable,High: > 7542
Roca,Shower Cabin,Sanitary,Sliding Cabin,Master Bathroom,90x90 cm,High,8.4,Piece,Per_Master_Bathroom,1,Master Bathroom,True,10083,Sliding Cabin,Not Applicable,High: > 7542
Lecico,Shower Cabin,Sanitary,Sliding Cabin,Master Bathroom,90x90 cm,High,8.4,Piece,Per_Master_Bathroom,1,Master Bathroom,True,9530,Sliding Cabin,Not Applicable,High: > 7542
Lecico,Shower Cabin,Sanitary,Sliding Cabin,Master Bathroom,90x90 cm,High,8.4,Piece,Per_Master_Bathroom,1,Master Bathroom,True,9858,Sliding Cabin,Not Applicable,High: > 7542
Roca,Rain Shower,Sanitary,Rain Shower,Master Bathroom,Chrome,High,9.0,Set,Per_Master_Bathroom,1,Master Bathroom,True,9974,Rain Shower,Not Applicable,High: > 7542
Ceramica Cleopatra,Close Coupled Toilet,Sanitary,Floor Mounted,Bathroom,Ceramic,High,7.6,Piece,Per_Bathroom,1,Bathroom,False,8214,Floor Mounted,Not Applicable,High: > 7542
Roca,Wash Basin,Sanitary,Pedestal,Bathroom,60 cm,Low,7.4,Piece,Per_Bathroom,1,Bathroom,False,2169,Pedestal,Not Applicable,Low: <= 5006
Ideal Standard,Wash Basin,Sanitary,Pedestal,Bathroom,60 cm,Low,7.4,Piece,Per_Bathroom,1,Bathroom,False,2906,Pedestal,Not Applicable,Low: <= 5006
Roca,Rain Shower,Sanitary,Rain Shower,Master Bathroom,Chrome,Medium,9.0,Set,Per_Master_Bathroom,1,Master Bathroom,True,5649,Rain Shower,Not Applicable,Medium: 5006 - 7542
Roca,Shower Cabin,Sanitary,Sliding Cabin,Master Bathroom,90x90 cm,Medium,8.4,Piece,Per_Master_Bathroom,1,Master Bathroom,True,7095,Sliding Cabin,Not Applicable,Medium: 5006 - 7542
Lecico,Rain Shower,Sanitary,Rain Shower,Master Bathroom,Chrome,High,9.0,Set,Per_Master_Bathroom,1,Master Bathroom,True,7682,Rain Shower,Not Applicable,High: > 7542
Roca,Rain Shower,Sanitary,Rain Shower,Master Bathroom,Chrome,High,9.0,Set,Per_Master_Bathroom,1,Master Bathroom,True,9256,Rain Shower,Not Applicable,High: > 7542
Ideal Standard,Rain Shower,Sanitary,Rain Shower,Master Bathroom,Chrome,Medium,9.0,Set,Per_Master_Bathroom,1,Master Bathroom,True,7011,Rain Shower,Not Applicable,Medium: 5006 - 7542
GROHE,Wash Basin,Sanitary,Pedestal,Bathroom,60 cm,Low,7.4,Piece,Per_Bathroom,1,Bathroom,False,3875,Pedestal,Not Applicable,Low: <= 5006
Ideal Standard,Rain Shower,Sanitary,Rain Shower,Master Bathroom,Chrome,Medium,9.0,Set,Per_Master_Bathroom,1,Master Bathroom,True,7419,Rain Shower,Not Applicable,Medium: 5006 - 7542
Ceramica Cleopatra,Close Coupled Toilet,Sanitary,Floor Mounted,Bathroom,Ceramic,High,7.6,Piece,Per_Bathroom,1,Bathroom,False,7770,Floor Mounted,Not Applicable,High: > 7542
Ideal Standard,Shower Cabin,Sanitary,Sliding Cabin,Master Bathroom,90x90 cm,Medium,8.4,Piece,Per_Master_Bathroom,1,Master Bathroom,True,6133,Sliding Cabin,Not Applicable,Medium: 5006 - 7542
Ceramica Cleopatra,Close Coupled Toilet,Sanitary,Floor Mounted,Bathroom,Ceramic,Medium,7.6,Piece,Per_Bathroom,1,Bathroom,False,7129,Floor Mounted,Not Applicable,Medium: 5006 - 7542
Lecico,Close Coupled Toilet,Sanitary,Floor Mounted,Bathroom,Ceramic,High,7.6,Piece,Per_Bathroom,1,Bathroom,False,7650,Floor Mounted,Not Applicable,High: > 7542
GROHE,Close Coupled Toilet,Sanitary,Floor Mounted,Bathroom,Ceramic,Low,7.6,Piece,Per_Bathroom,1,Bathroom,False,4492,Floor Mounted,Not Applicable,Low: <= 5006
Roca,Close Coupled Toilet,Sanitary,Floor Mounted,Bathroom,Ceramic,Medium,7.6,Piece,Per_Bathroom,1,Bathroom,False,5074,Floor Mounted,Not Applicable,Medium: 5006 - 7542
Ideal Standard,Rain Shower,Sanitary,Rain Shower,Master Bathroom,Chrome,High,9.0,Set,Per_Master_Bathroom,1,Master Bathroom,True,10081,Rain Shower,Not Applicable,High: > 7542
Roca,Shower Cabin,Sanitary,Sliding Cabin,Master Bathroom,90x90 cm,High,8.4,Piece,Per_Master_Bathroom,1,Master Bathroom,True,10861,Sliding Cabin,Not Applicable,High: > 7542
Ceramica Cleopatra,Close Coupled Toilet,Sanitary,Floor Mounted,Bathroom,Ceramic,High,7.6,Piece,Per_Bathroom,1,Bathroom,False,8079,Floor Mounted,Not Applicable,High: > 7542
Ideal Standard,Close Coupled Toilet,Sanitary,Floor Mounted,Bathroom,Ceramic,High,7.6,Piece,Per_Bathroom,1,Bathroom,False,7552,Floor Mounted,Not Applicable,High: > 7542
Ideal Standard,Rain Shower,Sanitary,Rain Shower,Master Bathroom,Chrome,High,9.0,Set,Per_Master_Bathroom,1,Master Bathroom,True,9150,Rain Shower,Not Applicable,High: > 7542
Ideal Standard,Shower Cabin,Sanitary,Sliding Cabin,Master Bathroom,90x90 cm,High,8.4,Piece,Per_Master_Bathroom,1,Master Bathroom,True,9812,Sliding Cabin,Not Applicable,High: > 7542
Ideal Standard,Close Coupled Toilet,Sanitary,Floor Mounted,Bathroom,Ceramic,Medium,7.6,Piece,Per_Bathroom,1,Bathroom,False,5354,Floor Mounted,Not Applicable,Medium: 5006 - 7542
Ceramica Cleopatra,Wash Basin,Sanitary,Pedestal,Bathroom,60 cm,Low,7.4,Piece,Per_Bathroom,1,Bathroom,False,2343,Pedestal,Not Applicable,Low: <= 5006
Lecico,Wash Basin,Sanitary,Pedestal,Bathroom,60 cm,Low,7.4,Piece,Per_Bathroom,1,Bathroom,False,2723,Pedestal,Not Applicable,Low: <= 5006
Ideal Standard,Close Coupled Toilet,Sanitary,Floor Mounted,Bathroom,Ceramic,High,7.6,Piece,Per_Bathroom,1,Bathroom,False,7820,Floor Mounted,Not Applicable,High: > 7542
Lecico,Wash Basin,Sanitary,Pedestal,Bathroom,60 cm,Low,7.4,Piece,Per_Bathroom,1,Bathroom,False,3205,Pedestal,Not Applicable,Low: <= 5006
Ideal Standard,Rain Shower,Sanitary,Rain Shower,Master Bathroom,Chrome,High,9.0,Set,Per_Master_Bathroom,1,Master Bathroom,True,10910,Rain Shower,Not Applicable,High: > 7542
GROHE,Close Coupled Toilet,Sanitary,Floor Mounted,Bathroom,Ceramic,Medium,7.6,Piece,Per_Bathroom,1,Bathroom,False,6494,Floor Mounted,Not Applicable,Medium: 5006 - 7542
GROHE,Shower Cabin,Sanitary,Sliding Cabin,Master Bathroom,90x90 cm,Medium,8.4,Piece,Per_Master_Bathroom,1,Master Bathroom,True,7373,Sliding Cabin,Not Applicable,Medium: 5006 - 7542
Ideal Standard,Close Coupled Toilet,Sanitary,Floor Mounted,Bathroom,Ceramic,Low,7.6,Piece,Per_Bathroom,1,Bathroom,False,4972,Floor Mounted,Not Applicable,Low: <= 5006
Ideal Standard,Wash Basin,Sanitary,Pedestal,Bathroom,60 cm,Low,7.4,Piece,Per_Bathroom,1,Bathroom,False,3895,Pedestal,Not Applicable,Low: <= 5006
Ideal Standard,Wash Basin,Sanitary,Pedestal,Bathroom,60 cm,Low,7.4,Piece,Per_Bathroom,1,Bathroom,False,2277,Pedestal,Not Applicable,Low: <= 5006
GROHE,Close Coupled Toilet,Sanitary,Floor Mounted,Bathroom,Ceramic,Medium,7.6,Piece,Per_Bathroom,1,Bathroom,False,5826,Floor Mounted,Not Applicable,Medium: 5006 - 7542
Roca,Wash Basin,Sanitary,Pedestal,Bathroom,60 cm,Low,7.4,Piece,Per_Bathroom,1,Bathroom,False,2691,Pedestal,Not Applicable,Low: <= 5006
Roca,Rain Shower,Sanitary,Rain Shower,Master Bathroom,Chrome,High,9.0,Set,Per_Master_Bathroom,1,Master Bathroom,True,8040,Rain Shower,Not Applicable,High: > 7542
Roca,Close Coupled Toilet,Sanitary,Floor Mounted,Bathroom,Ceramic,Low,7.6,Piece,Per_Bathroom,1,Bathroom,False,4961,Floor Mounted,Not Applicable,Low: <= 5006
Ideal Standard,Close Coupled Toilet,Sanitary,Floor Mounted,Bathroom,Ceramic,Low,7.6,Piece,Per_Bathroom,1,Bathroom,False,4978,Floor Mounted,Not Applicable,Low: <= 5006
Ceramica Cleopatra,Rain Shower,Sanitary,Rain Shower,Master Bathroom,Chrome,Low,9.0,Set,Per_Master_Bathroom,1,Master Bathroom,True,4524,Rain Shower,Not Applicable,Low: <= 5006
Roca,Shower Cabin,Sanitary,Sliding Cabin,Master Bathroom,90x90 cm,Medium,8.4,Piece,Per_Master_Bathroom,1,Master Bathroom,True,6837,Sliding Cabin,Not Applicable,Medium: 5006 - 7542
Ideal Standard,Shower Cabin,Sanitary,Sliding Cabin,Master Bathroom,90x90 cm,Medium,8.4,Piece,Per_Master_Bathroom,1,Master Bathroom,True,5944,Sliding Cabin,Not Applicable,Medium: 5006 - 7542
Ideal Standard,Shower Cabin,Sanitary,Sliding Cabin,Master Bathroom,90x90 cm,High,8.4,Piece,Per_Master_Bathroom,1,Master Bathroom,True,10585,Sliding Cabin,Not Applicable,High: > 7542
GROHE,Close Coupled Toilet,Sanitary,Floor Mounted,Bathroom,Ceramic,Medium,7.6,Piece,Per_Bathroom,1,Bathroom,False,7364,Floor Mounted,Not Applicable,Medium: 5006 - 7542
Roca,Wash Basin,Sanitary,Pedestal,Bathroom,60 cm,Low,7.4,Piece,Per_Bathroom,1,Bathroom,False,2192,Pedestal,Not Applicable,Low: <= 5006
GROHE,Shower Cabin,Sanitary,Sliding Cabin,Master Bathroom,90x90 cm,Medium,8.4,Piece,Per_Master_Bathroom,1,Master Bathroom,True,6250,Sliding Cabin,Not Applicable,Medium: 5006 - 7542
Roca,Wash Basin,Sanitary,Pedestal,Bathroom,60 cm,Low,7.4,Piece,Per_Bathroom,1,Bathroom,False,1951,Pedestal,Not Applicable,Low: <= 5006
Lecico,Wash Basin,Sanitary,Pedestal,Bathroom,60 cm,Low,7.4,Piece,Per_Bathroom,1,Bathroom,False,3061,Pedestal,Not Applicable,Low: <= 5006
Roca,Rain Shower,Sanitary,Rain Shower,Master Bathroom,Chrome,Medium,9.0,Set,Per_Master_Bathroom,1,Master Bathroom,True,6131,Rain Shower,Not Applicable,Medium: 5006 - 7542
GROHE,Close Coupled Toilet,Sanitary,Floor Mounted,Bathroom,Ceramic,Medium,7.6,Piece,Per_Bathroom,1,Bathroom,False,5898,Floor Mounted,Not Applicable,Medium: 5006 - 7542
Roca,Rain Shower,Sanitary,Rain Shower,Master Bathroom,Chrome,High,9.0,Set,Per_Master_Bathroom,1,Master Bathroom,True,9128,Rain Shower,Not Applicable,High: > 7542
Roca,Wash Basin,Sanitary,Pedestal,Bathroom,60 cm,Low,7.4,Piece,Per_Bathroom,1,Bathroom,False,3146,Pedestal,Not Applicable,Low: <= 5006
GROHE,Close Coupled Toilet,Sanitary,Floor Mounted,Bathroom,Ceramic,Low,7.6,Piece,Per_Bathroom,1,Bathroom,False,4756,Floor Mounted,Not Applicable,Low: <= 5006
Lecico,Close Coupled Toilet,Sanitary,Floor Mounted,Bathroom,Ceramic,Low,7.6,Piece,Per_Bathroom,1,Bathroom,False,3996,Floor Mounted,Not Applicable,Low: <= 5006
Ceramica Cleopatra,Close Coupled Toilet,Sanitary,Floor Mounted,Bathroom,Ceramic,High,7.6,Piece,Per_Bathroom,1,Bathroom,False,7709,Floor Mounted,Not Applicable,High: > 7542
Ideal Standard,Close Coupled Toilet,Sanitary,Floor Mounted,Bathroom,Ceramic,Medium,7.6,Piece,Per_Bathroom,1,Bathroom,False,6235,Floor Mounted,Not Applicable,Medium: 5006 - 7542
GROHE,Wash Basin,Sanitary,Pedestal,Bathroom,60 cm,Low,7.4,Piece,Per_Bathroom,1,Bathroom,False,2547,Pedestal,Not Applicable,Low: <= 5006
GROHE,Wash Basin,Sanitary,Pedestal,Bathroom,60 cm,Low,7.4,Piece,Per_Bathroom,1,Bathroom,False,2961,Pedestal,Not Applicable,Low: <= 5006
Ideal Standard,Rain Shower,Sanitary,Rain Shower,Master Bathroom,Chrome,High,9.0,Set,Per_Master_Bathroom,1,Master Bathroom,True,10431,Rain Shower,Not Applicable,High: > 7542
Ceramica Cleopatra,Rain Shower,Sanitary,Rain Shower,Master Bathroom,Chrome,High,9.0,Set,Per_Master_Bathroom,1,Master Bathroom,True,9438,Rain Shower,Not Applicable,High: > 7542
Ceramica Cleopatra,Rain Shower,Sanitary,Rain Shower,Master Bathroom,Chrome,Low,9.0,Set,Per_Master_Bathroom,1,Master Bathroom,True,4647,Rain Shower,Not Applicable,Low: <= 5006
Ideal Standard,Wash Basin,Sanitary,Pedestal,Bathroom,60 cm,Low,7.4,Piece,Per_Bathroom,1,Bathroom,False,2144,Pedestal,Not Applicable,Low: <= 5006
Lecico,Wash Basin,Sanitary,Pedestal,Bathroom,60 cm,Low,7.4,Piece,Per_Bathroom,1,Bathroom,False,3771,Pedestal,Not Applicable,Low: <= 5006
Ceramica Cleopatra,Shower Cabin,Sanitary,Sliding Cabin,Master Bathroom,90x90 cm,Medium,8.4,Piece,Per_Master_Bathroom,1,Master Bathroom,True,6044,Sliding Cabin,Not Applicable,Medium: 5006 - 7542
GROHE,Wash Basin,Sanitary,Pedestal,Bathroom,60 cm,Low,7.4,Piece,Per_Bathroom,1,Bathroom,False,3796,Pedestal,Not Applicable,Low: <= 5006
Ceramica Cleopatra,Wash Basin,Sanitary,Pedestal,Bathroom,60 cm,Low,7.4,Piece,Per_Bathroom,1,Bathroom,False,2299,Pedestal,Not Applicable,Low: <= 5006
Ceramica Cleopatra,Shower Cabin,Sanitary,Sliding Cabin,Master Bathroom,90x90 cm,High,8.4,Piece,Per_Master_Bathroom,1,Master Bathroom,True,9643,Sliding Cabin,Not Applicable,High: > 7542
Roca,Close Coupled Toilet,Sanitary,Floor Mounted,Bathroom,Ceramic,High,7.6,Piece,Per_Bathroom,1,Bathroom,False,8150,Floor Mounted,Not Applicable,High: > 7542
Lecico,Rain Shower,Sanitary,Rain Shower,Master Bathroom,Chrome,High,9.0,Set,Per_Master_Bathroom,1,Master Bathroom,True,8765,Rain Shower,Not Applicable,High: > 7542
Ideal Standard,Rain Shower,Sanitary,Rain Shower,Master Bathroom,Chrome,High,9.0,Set,Per_Master_Bathroom,1,Master Bathroom,True,9239,Rain Shower,Not Applicable,High: > 7542
GROHE,Wash Basin,Sanitary,Pedestal,Bathroom,60 cm,Low,7.4,Piece,Per_Bathroom,1,Bathroom,False,2427,Pedestal,Not Applicable,Low: <= 5006
Roca,Close Coupled Toilet,Sanitary,Floor Mounted,Bathroom,Ceramic,Low,7.6,Piece,Per_Bathroom,1,Bathroom,False,4826,Floor Mounted,Not Applicable,Low: <= 5006
Lecico,Close Coupled Toilet,Sanitary,Floor Mounted,Bathroom,Ceramic,Low,7.6,Piece,Per_Bathroom,1,Bathroom,False,4536,Floor Mounted,Not Applicable,Low: <= 5006
Ceramica Cleopatra,Wash Basin,Sanitary,Pedestal,Bathroom,60 cm,Low,7.4,Piece,Per_Bathroom,1,Bathroom,False,1957,Pedestal,Not Applicable,Low: <= 5006
Ideal Standard,Shower Cabin,Sanitary,Sliding Cabin,Master Bathroom,90x90 cm,Medium,8.4,Piece,Per_Master_Bathroom,1,Master Bathroom,True,6174,Sliding Cabin,Not Applicable,Medium: 5006 - 7542
Ideal Standard,Close Coupled Toilet,Sanitary,Floor Mounted,Bathroom,Ceramic,Medium,7.6,Piece,Per_Bathroom,1,Bathroom,False,5327,Floor Mounted,Not Applicable,Medium: 5006 - 7542
Ideal Standard,Shower Cabin,Sanitary,Sliding Cabin,Master Bathroom,90x90 cm,High,8.4,Piece,Per_Master_Bathroom,1,Master Bathroom,True,10180,Sliding Cabin,Not Applicable,High: > 7542
Roca,Shower Cabin,Sanitary,Sliding Cabin,Master Bathroom,90x90 cm,High,8.4,Piece,Per_Master_Bathroom,1,Master Bathroom,True,7800,Sliding Cabin,Not Applicable,High: > 7542
GROHE,Wash Basin,Sanitary,Pedestal,Bathroom,60 cm,Low,7.4,Piece,Per_Bathroom,1,Bathroom,False,3991,Pedestal,Not Applicable,Low: <= 5006
GROHE,Shower Cabin,Sanitary,Sliding Cabin,Master Bathroom,90x90 cm,High,8.4,Piece,Per_Master_Bathroom,1,Master Bathroom,True,9501,Sliding Cabin,Not Applicable,High: > 7542
Ceramica Cleopatra,Shower Cabin,Sanitary,Sliding Cabin,Master Bathroom,90x90 cm,High,8.4,Piece,Per_Master_Bathroom,1,Master Bathroom,True,8772,Sliding Cabin,Not Applicable,High: > 7542
Lecico,Rain Shower,Sanitary,Rain Shower,Master Bathroom,Chrome,Medium,9.0,Set,Per_Master_Bathroom,1,Master Bathroom,True,6977,Rain Shower,Not Applicable,Medium: 5006 - 7542
Ceramica Cleopatra,Shower Cabin,Sanitary,Sliding Cabin,Master Bathroom,90x90 cm,Medium,8.4,Piece,Per_Master_Bathroom,1,Master Bathroom,True,5518,Sliding Cabin,Not Applicable,Medium: 5006 - 7542
GROHE,Wash Basin,Sanitary,Pedestal,Bathroom,60 cm,Low,7.4,Piece,Per_Bathroom,1,Bathroom,False,3583,Pedestal,Not Applicable,Low: <= 5006
Lecico,Close Coupled Toilet,Sanitary,Floor Mounted,Bathroom,Ceramic,Low,7.6,Piece,Per_Bathroom,1,Bathroom,False,3870,Floor Mounted,Not Applicable,Low: <= 5006
